CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.755;0.699;0.718;0.030;100;0.968;0.896;0.921;0.038;78
SVM_RBF[5.0];1.000;0.795;0.881;0.030;100;1.000;0.795;0.881;0.030;100
SVM_Poly[3,2.0,0.5];0.891;0.965;0.918;0.030;100;0.891;0.965;0.918;0.030;100
REPTree;0.630;0.578;0.596;0.030;100;0.914;0.838;0.864;0.041;69
RandomForest;0.998;0.936;0.963;0.030;100;0.998;0.936;0.963;0.030;100
RandomCommittee;0.948;0.910;0.926;0.030;100;0.977;0.938;0.954;0.031;97
SVM_Puk[1.0, 0.1];1.000;0.819;0.896;0.030;100;1.000;0.819;0.896;0.030;100
MultilayerPerceptron[a];0.886;0.801;0.836;0.030;100;0.973;0.881;0.919;0.033;91
J48;0.527;0.484;0.500;0.030;100;0.975;0.896;0.925;0.051;54


VALIDITY RATIO;(F)
min;0.001465
avg;0.030469
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.8];0.848;0.776;0.804;0.030;900;0.968;0.886;0.917;0.034;789

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
AA;0.795;0.672;0.713;0.017;45;0.942;0.796;0.844;0.017;38
Prontuário Eletrônico de Pacientes;0.858;0.768;0.805;0.011;45;0.966;0.864;0.905;0.011;40
CIMS PL;0.485;0.467;0.469;0.002;45;0.949;0.913;0.917;0.002;23
VODPlayer;0.962;0.918;0.936;0.048;45;0.962;0.918;0.936;0.048;45
isolation;0.689;0.608;0.636;0.004;45;0.939;0.830;0.867;0.004;33
VOD feature model;0.993;0.925;0.954;0.016;45;0.993;0.925;0.954;0.016;45
Mauricio Alférez;0.840;0.778;0.798;0.005;45;0.945;0.875;0.897;0.005;40
test gv;0.994;0.935;0.961;0.032;45;0.994;0.935;0.961;0.032;45
desordem;0.931;0.803;0.855;0.028;45;0.952;0.821;0.875;0.028;44
SmartHome- Simplified Sample;0.820;0.733;0.769;0.005;45;0.971;0.868;0.911;0.005;38
SmartHome_vConejero_r1;0.541;0.526;0.518;0.001;45;0.901;0.877;0.863;0.001;27
rtrt;0.991;0.924;0.952;0.020;45;0.991;0.924;0.952;0.020;45
MobileMedia;0.996;0.935;0.963;0.028;45;0.996;0.935;0.963;0.028;45
Computer Selection;0.593;0.489;0.523;0.003;45;0.953;0.786;0.840;0.003;28
FeatureModel1;0.996;0.931;0.960;0.017;45;0.996;0.931;0.960;0.017;45
Phone;0.981;0.930;0.952;0.046;45;0.981;0.930;0.952;0.046;45
ordem;0.905;0.767;0.821;0.028;45;0.947;0.803;0.859;0.028;43
Simnumero;0.609;0.509;0.547;0.009;45;0.913;0.763;0.820;0.009;30
Mobile Game;0.988;0.953;0.968;0.133;45;0.988;0.953;0.968;0.133;45
WebApp;0.999;0.955;0.975;0.157;45;0.999;0.955;0.975;0.157;45
