CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.559;0.496;0.514;0.014;50;0.902;0.800;0.830;0.021;31
SVM_RBF[5.0];0.920;0.193;0.314;0.014;50;1.000;0.209;0.341;0.016;46
SVM_Poly[3,2.0,0.5];0.648;0.674;0.650;0.014;50;0.720;0.749;0.723;0.016;45
REPTree;0.471;0.446;0.455;0.014;50;0.872;0.826;0.843;0.024;27
RandomForest;0.905;0.503;0.594;0.014;50;0.963;0.536;0.632;0.015;47
RandomCommittee;0.733;0.586;0.620;0.014;50;0.780;0.624;0.660;0.015;47
SVM_Puk[1.0, 0.1];0.940;0.211;0.339;0.014;50;1.000;0.225;0.360;0.015;47
MultilayerPerceptron[a];0.758;0.653;0.683;0.014;50;0.824;0.710;0.742;0.016;46
J48;0.414;0.397;0.403;0.014;50;0.940;0.902;0.917;0.029;22


VALIDITY RATIO;(F)
min;0.000244
avg;0.014478
max;0.058838

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.2];0.705;0.462;0.508;0.014;450;0.887;0.581;0.639;0.018;358

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
UPL;0.829;0.546;0.616;0.009;45;0.888;0.585;0.660;0.009;42
Loja Virtual;0.943;0.756;0.789;0.028;45;0.943;0.756;0.789;0.028;45
CCCMS;0.986;0.815;0.841;0.059;45;0.986;0.815;0.841;0.059;45
Bicis_Feature_Model;0.566;0.229;0.292;0.007;45;0.821;0.332;0.424;0.007;31
MiniRPG;0.636;0.329;0.390;0.002;45;0.895;0.463;0.548;0.002;32
Text Editor;0.504;0.219;0.261;0.003;45;0.687;0.298;0.356;0.003;33
aaaaaa;0.956;0.734;0.783;0.008;45;1.000;0.768;0.820;0.008;43
Phone sple;0.947;0.637;0.718;0.027;45;0.947;0.637;0.718;0.027;45
FM1;0.175;0.133;0.131;0.000;45;0.715;0.545;0.534;0.000;11
KIModel;0.512;0.224;0.260;0.002;45;0.744;0.325;0.378;0.002;31
