CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.964;0.930;0.942;0.029;33;0.994;0.959;0.971;0.028;32
SVM_RBF[5.0];1.000;1.000;1.000;0.029;33;1.000;1.000;1.000;0.029;33
HoeffdingTree;0.364;0.090;0.143;0.029;33;1.000;0.247;0.393;0.042;12
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.029;33;1.000;1.000;1.000;0.029;33
REPTree;0.816;0.788;0.800;0.029;33;0.997;0.963;0.978;0.034;27
RandomForest;1.000;1.000;1.000;0.029;33;1.000;1.000;1.000;0.029;33
StochasticGradientDescend;0.066;0.090;0.069;0.029;33;0.725;0.986;0.761;0.036;3
RandomCommittee;0.994;0.964;0.974;0.029;33;0.994;0.964;0.974;0.029;33
NaiveBayesUpdateable;0.667;0.149;0.237;0.029;33;1.000;0.224;0.356;0.039;22
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.029;33;1.000;1.000;1.000;0.029;33
MultilayerPerceptron[a];1.000;0.921;0.955;0.029;33;1.000;0.921;0.955;0.029;33
J48;0.758;0.744;0.751;0.029;33;1.000;0.982;0.991;0.035;25


VALIDITY RATIO;(F)
min;0.004883
avg;0.029179
max;0.054688

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.802;0.723;0.739;0.029;396;0.996;0.897;0.918;0.031;319

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
E-SHOP;0.567;0.583;0.574;0.008;24;0.971;1.000;0.984;0.008;14
votacao eletronica;0.750;0.750;0.750;0.007;12;1.000;1.000;1.000;0.007;9
mo;0.882;0.854;0.841;0.030;24;0.963;0.931;0.918;0.030;22
ROOT;0.917;0.857;0.873;0.047;12;1.000;0.934;0.952;0.047;11
Disenio;0.583;0.483;0.521;0.005;36;1.000;0.829;0.893;0.005;21
VOD feature model;0.750;0.740;0.745;0.016;36;1.000;0.987;0.993;0.016;27
Mauricio Alférez;0.667;0.636;0.650;0.005;12;1.000;0.955;0.974;0.005;8
anlisis II;0.833;0.744;0.751;0.028;36;1.000;0.893;0.901;0.028;30
SmartHome- Simplified Sample;0.583;0.576;0.579;0.005;12;1.000;0.987;0.993;0.005;7
Autosoft;0.750;0.571;0.592;0.055;12;1.000;0.762;0.789;0.055;9
rtrt;0.917;0.783;0.806;0.020;12;1.000;0.855;0.879;0.020;11
MobileMedia;0.833;0.753;0.766;0.028;12;1.000;0.903;0.919;0.028;10
Phone;0.831;0.766;0.780;0.046;36;0.997;0.919;0.936;0.046;30
XOR NEW;0.917;0.786;0.816;0.043;120;1.000;0.857;0.890;0.043;110
