CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.784;0.580;0.628;0.014;75;0.948;0.701;0.760;0.016;62
SVM_RBF[5.0];1.000;1.000;1.000;0.014;75;1.000;1.000;1.000;0.014;75
HoeffdingTree;0.107;0.049;0.044;0.014;75;0.309;0.142;0.127;0.013;26
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.014;75;1.000;1.000;1.000;0.014;75
REPTree;0.901;0.702;0.766;0.014;75;0.926;0.722;0.787;0.014;73
RandomForest;1.000;1.000;1.000;0.014;75;1.000;1.000;1.000;0.014;75
StochasticGradientDescend;0.027;0.011;0.014;0.014;75;1.000;0.431;0.529;0.064;2
RandomCommittee;0.926;0.821;0.852;0.014;75;0.992;0.880;0.913;0.015;70
NaiveBayesUpdateable;0.080;0.016;0.024;0.014;75;0.667;0.131;0.201;0.031;9
SVM_Puk[1.0, 0.1];1.000;0.996;0.997;0.014;75;1.000;0.996;0.997;0.014;75
MultilayerPerceptron[a];1.000;0.934;0.965;0.014;75;1.000;0.934;0.965;0.014;75
J48;0.607;0.405;0.465;0.014;75;0.969;0.646;0.743;0.018;47


VALIDITY RATIO;(F)
min;0.000732
avg;0.014141
max;0.096924

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.703;0.626;0.646;0.014;900;0.952;0.849;0.876;0.015;664

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Guad gmocht!;0.750;0.738;0.744;0.021;12;1.000;0.984;0.992;0.021;9
Mobile phone;0.750;0.717;0.731;0.010;24;0.947;0.905;0.924;0.010;19
UPT_RM_MOBILE;0.750;0.600;0.650;0.015;24;1.000;0.800;0.867;0.015;18
eLearning ways;1.000;0.913;0.947;0.097;12;1.000;0.913;0.947;0.097;12
Mobile Phone UPT - 18413;0.792;0.661;0.696;0.015;24;0.950;0.793;0.835;0.015;20
Manuel;0.750;0.667;0.700;0.010;24;1.000;0.889;0.933;0.010;18
Minimalistic PC Feature Model;0.583;0.450;0.483;0.005;24;1.000;0.771;0.828;0.005;14
Mobile phone (lenita);0.750;0.650;0.688;0.015;24;1.000;0.867;0.917;0.015;18
Hello World;0.750;0.645;0.672;0.034;12;1.000;0.860;0.896;0.034;9
test 3;0.750;0.737;0.743;0.032;12;1.000;0.983;0.991;0.032;9
Telefono;0.569;0.458;0.487;0.008;36;0.976;0.786;0.835;0.008;21
celular;0.658;0.542;0.575;0.012;24;0.988;0.813;0.862;0.012;16
CarExample;0.500;0.444;0.467;0.001;12;1.000;0.889;0.933;0.001;6
eshop;0.792;0.717;0.735;0.010;24;0.950;0.860;0.882;0.010;20
AllSports Feature Model;0.917;0.839;0.860;0.023;12;1.000;0.915;0.938;0.023;11
Bandymas;0.833;0.750;0.761;0.019;24;1.000;0.900;0.914;0.019;20
Example Product Line Course Using SPLOT;0.792;0.633;0.677;0.015;24;0.950;0.760;0.812;0.015;20
Feature Tree Example;0.750;0.750;0.750;0.008;24;1.000;1.000;1.000;0.008;18
jjjjj;0.720;0.657;0.671;0.018;24;0.910;0.830;0.847;0.018;19
Jogo;0.500;0.444;0.467;0.001;12;1.000;0.889;0.933;0.001;6
disenio II;0.917;0.749;0.765;0.030;12;1.000;0.817;0.835;0.030;11
Example Mobile Phone;0.733;0.594;0.636;0.015;24;0.978;0.793;0.849;0.015;18
Mobile Phone UPT;0.750;0.594;0.645;0.015;24;1.000;0.793;0.861;0.015;18
Test1;0.500;0.500;0.500;0.008;24;0.923;0.923;0.923;0.008;13
1;0.917;0.815;0.836;0.007;12;1.000;0.890;0.912;0.007;11
acarlos_trab2_mobile;0.736;0.583;0.630;0.015;24;0.981;0.778;0.840;0.015;18
Mobile Phone GF;0.714;0.738;0.722;0.014;24;0.902;0.932;0.912;0.014;19
testISA2012;0.750;0.617;0.665;0.015;24;1.000;0.822;0.887;0.015;18
Sylvain Example;0.640;0.636;0.631;0.005;132;0.853;0.848;0.841;0.005;99
Telefonia Celular;0.728;0.664;0.686;0.036;24;0.920;0.839;0.867;0.036;19
mobile phone;0.724;0.639;0.657;0.026;24;0.914;0.807;0.830;0.026;19
Modelo;0.500;0.438;0.450;0.004;36;0.947;0.829;0.853;0.004;19
MyFM;0.651;0.542;0.563;0.020;24;0.976;0.813;0.845;0.020;16
Mobile Phone;0.727;0.686;0.695;0.014;48;0.943;0.890;0.902;0.014;37
Mobile-Phone;0.733;0.594;0.636;0.015;24;0.978;0.793;0.849;0.015;18
SAL;0.667;0.487;0.524;0.013;12;1.000;0.731;0.786;0.013;8
