CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.231;0.197;0.207;0.001;50;0.769;0.658;0.689;0.001;15
HoeffdingTree;0.008;0.084;0.011;0.001;50;0.015;0.150;0.019;0.001;28
SVM_Poly[3,2.0,0.5];0.384;0.341;0.351;0.001;50;0.533;0.474;0.488;0.001;36
REPTree;0.234;0.181;0.193;0.001;50;0.687;0.533;0.568;0.001;17
RandomForest;0.712;0.094;0.139;0.001;50;0.937;0.124;0.182;0.001;38
StochasticGradientDescend;0.000;0.000;0.000;0.001;50;0.000;0.000;0.000;0.000;0
RandomCommittee;0.460;0.193;0.260;0.001;50;0.589;0.248;0.333;0.001;39
NaiveBayesUpdateable;0.104;0.016;0.022;0.001;50;0.326;0.050;0.068;0.001;16
J48;0.208;0.193;0.200;0.001;50;0.866;0.805;0.832;0.001;12


VALIDITY RATIO;(F)
min;0.000000
avg;0.000551
max;0.004579

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.01];0.260;0.144;0.153;0.001;450;0.582;0.323;0.344;0.001;201

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Car Software System;0.158;0.018;0.025;0.000;18;0.474;0.053;0.075;0.000;6
ISA11/12_pgr;0.187;0.047;0.045;0.000;18;0.305;0.077;0.074;0.000;11
Insurance Policy;0.558;0.419;0.426;0.000;18;0.628;0.471;0.479;0.000;16
Linea de Experimentos;0.057;0.016;0.017;0.000;90;0.463;0.128;0.136;0.000;11
Jogo de Engenharia de Software;0.598;0.340;0.388;0.001;18;0.673;0.382;0.436;0.001;16
Scheduler;0.210;0.071;0.064;0.000;18;0.473;0.160;0.144;0.000;8
Small Graph Product Line;0.410;0.173;0.197;0.002;18;0.671;0.283;0.322;0.002;11
SoftwareClassification;0.236;0.093;0.082;0.000;18;0.530;0.209;0.184;0.000;8
Diagrama de Experimento;0.075;0.047;0.048;0.000;18;0.271;0.171;0.172;0.000;5
MobileMedia_Conejero;0.157;0.013;0.018;0.000;18;0.352;0.030;0.039;0.000;8
JCalc_LPS;0.293;0.091;0.115;0.000;18;0.527;0.163;0.206;0.000;10
Mobile Applications Contents;0.633;0.520;0.552;0.001;18;0.760;0.624;0.662;0.001;15
Construtora;0.122;0.034;0.025;0.000;18;0.313;0.088;0.065;0.000;7
Fabrica de software;0.016;0.009;0.011;0.000;18;0.286;0.154;0.200;0.000;1
dfffffffffff;0.198;0.062;0.070;0.001;18;0.395;0.124;0.141;0.001;9
Requirements Proces Variability;0.132;0.050;0.012;0.000;18;0.395;0.151;0.036;0.000;6
Context Feature Model;0.567;0.423;0.465;0.005;18;0.729;0.543;0.598;0.005;14
VMS;0.723;0.440;0.500;0.001;18;0.868;0.528;0.600;0.001;15
GMF_Eclipse_Reuso_UFRJ;0.000;0.000;0.000;0.000;18;0.000;0.000;0.000;0.000;0
Mobile Phone;0.168;0.042;0.034;0.000;18;0.377;0.095;0.075;0.000;8
Software-Product;0.778;0.641;0.677;0.000;18;0.875;0.721;0.762;0.000;16
