CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.965;0.887;0.917;0.023
LogisticModelTree;0.923;0.839;0.866;0.028
SVM_RBF[5.0];1.000;0.628;0.765;0.022
SVM_Poly[3,2.0,0.5];0.848;0.936;0.875;0.022
REPTree;0.865;0.737;0.773;0.028
RandomForest;0.993;0.819;0.887;0.022
RandomCommittee;0.944;0.865;0.896;0.022
SVM_Puk[1.0, 0.1];1.000;0.581;0.730;0.023
J48;0.956;0.905;0.926;0.032

