Constraints;Count;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max
0;9;0.649;0.748;0.901;0.999;NaN;0.889;0.927;0.982;0.996;1.000;0.242;0.868;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.024;0.234;0.889;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.067;0.380;1.000;1.000;1.000
1;1;0.429;0.429;0.429;0.429;0.429;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.700;0.700;0.700;0.700;0.700;1.000;1.000;1.000;1.000;1.000;0.857;0.857;0.857;0.857;0.857

