CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.912;0.948;0.013
LogisticModelTree;0.924;0.664;0.692;0.015
SVM_Poly[3,2.0,0.5];1.000;0.999;0.999;0.013
REPTree;0.927;0.821;0.849;0.014
RandomForest;1.000;0.997;0.998;0.013
RandomCommittee;0.925;0.771;0.761;0.013
J48;0.945;0.802;0.834;0.020

