CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.904;0.945;0.019
LogisticModelTree;0.925;0.744;0.767;0.021
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.018
REPTree;0.927;0.824;0.850;0.021
RandomForest;1.000;0.996;0.997;0.018
RandomCommittee;0.936;0.833;0.830;0.018
J48;0.950;0.815;0.847;0.026

