CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.829;0.888;0.002
LogisticModelTree;0.904;0.539;0.571;0.002
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.002
REPTree;0.920;0.673;0.751;0.002
RandomForest;1.000;1.000;1.000;0.002
RandomCommittee;1.000;0.520;0.575;0.002
J48;0.900;0.641;0.685;0.002

