CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.757;0.702;0.711;0.023
LogisticModelTree;0.766;0.663;0.681;0.032
SVM_RBF[5.0];1.000;0.215;0.347;0.024
SVM_Poly[3,2.0,0.5];0.692;0.678;0.665;0.023
REPTree;0.749;0.674;0.685;0.037
RandomForest;0.932;0.498;0.604;0.023
RandomCommittee;0.730;0.591;0.629;0.023
SVM_Puk[1.0, 0.1];1.000;0.209;0.340;0.023
J48;0.912;0.860;0.879;0.048

