CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.852;0.762;0.789;0.023
LogisticModelTree;0.839;0.757;0.776;0.030
SVM_RBF[5.0];1.000;0.313;0.470;0.023
SVM_Poly[3,2.0,0.5];0.745;0.772;0.740;0.023
REPTree;0.823;0.695;0.723;0.034
RandomForest;0.981;0.585;0.695;0.023
RandomCommittee;0.826;0.684;0.735;0.023
SVM_Puk[1.0, 0.1];1.000;0.311;0.467;0.023
J48;0.895;0.842;0.861;0.039

