CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.947;0.849;0.886;0.023
LogisticModelTree;0.879;0.777;0.804;0.028
SVM_RBF[5.0];1.000;0.498;0.660;0.022
SVM_Poly[3,2.0,0.5];0.821;0.899;0.844;0.022
REPTree;0.846;0.744;0.772;0.029
RandomForest;0.989;0.784;0.861;0.022
RandomCommittee;0.921;0.818;0.855;0.023
SVM_Puk[1.0, 0.1];1.000;0.517;0.676;0.023
J48;0.957;0.868;0.902;0.033

