Constraints;Count;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max
0;25;0.490;0.981;0.996;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.951;0.980;0.992;0.998;0.031;0.759;0.996;1.000;NaN;0.088;0.869;1.000;1.000;1.000;0.429;0.923;0.970;0.996;NaN
1;10;0.333;0.976;0.994;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.800;0.949;0.980;1.000;1.000;0.613;0.995;1.000;NaN;NaN;0.455;1.000;1.000;1.000;1.000;0.632;0.960;0.982;1.000;NaN
2;24;0.364;0.634;0.723;0.931;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.889;0.966;0.966;0.993;1.000;0.182;0.544;0.696;0.889;NaN;0.333;0.873;0.983;1.000;NaN;0.471;0.696;0.861;0.914;1.000
3;2;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.933;0.933;0.967;1.000;1.000;NaN;NaN;NaN;NaN;NaN;0.400;0.400;NaN;NaN;NaN;0.400;0.400;0.450;0.500;0.500
11;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.952;0.952;0.952;0.952;0.952;0.917;0.917;0.917;0.917;0.917;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;0.667;0.667

