Constraints;Count;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max
0;72;0.500;0.905;0.970;0.999;NaN;0.667;0.800;0.825;0.865;1.000;0.353;0.800;0.983;NaN;NaN;0.500;0.794;0.820;0.852;NaN;0.333;0.785;0.960;0.987;NaN;0.222;0.910;0.996;NaN;NaN;0.364;0.889;0.976;0.992;NaN;0.644;0.964;0.994;NaN;NaN;0.500;0.868;0.977;0.999;NaN
1;25;0.706;0.945;0.979;1.000;1.000;0.710;0.808;0.842;0.865;1.000;0.316;0.796;0.951;1.000;NaN;0.733;0.796;0.825;0.857;0.923;0.154;0.949;0.991;1.000;1.000;0.250;0.857;0.995;1.000;NaN;0.727;0.937;0.982;1.000;NaN;0.667;0.976;1.000;NaN;NaN;0.500;0.929;0.982;0.998;1.000
2;32;0.857;0.916;0.952;0.982;1.000;0.694;0.782;0.820;0.846;0.919;0.333;0.613;0.824;0.921;NaN;0.737;0.796;0.823;0.846;0.904;0.889;0.945;0.982;0.988;1.000;0.421;0.696;0.889;1.000;NaN;0.875;0.961;0.966;0.991;1.000;0.421;0.889;0.973;1.000;NaN;0.714;0.885;0.928;0.977;1.000
3;9;0.750;0.929;0.985;0.998;1.000;0.730;0.828;0.844;0.894;0.933;0.200;0.816;0.893;NaN;NaN;0.747;0.752;0.779;0.825;0.897;0.800;0.940;0.966;0.992;1.000;0.563;0.896;0.989;NaN;NaN;0.571;0.858;0.978;0.997;1.000;0.842;0.915;0.982;NaN;NaN;0.750;0.815;0.915;0.990;1.000
8;1;0.979;0.979;0.979;0.979;0.979;0.853;0.853;0.853;0.853;0.853;0.988;0.988;0.988;0.988;0.988;0.820;0.820;0.820;0.820;0.820;0.985;0.985;0.985;0.985;0.985;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.877;0.877;0.877;0.877;0.877;0.988;0.988;0.988;0.988;0.988
10;2;0.989;0.989;0.992;0.995;0.995;0.719;0.719;0.775;0.830;0.830;0.845;0.845;0.919;0.993;0.993;0.808;0.808;0.811;0.813;0.813;0.993;0.993;0.994;0.994;0.994;0.994;0.994;0.997;1.000;1.000;0.868;0.868;0.907;0.947;0.947;0.947;0.947;0.970;0.993;0.993;1.000;1.000;1.000;1.000;1.000
11;1;0.930;0.930;0.930;0.930;0.930;0.778;0.778;0.778;0.778;0.778;NaN;NaN;NaN;NaN;NaN;0.842;0.842;0.842;0.842;0.842;0.826;0.826;0.826;0.826;0.826;0.526;0.526;0.526;0.526;0.526;0.900;0.900;0.900;0.900;0.900;NaN;NaN;NaN;NaN;NaN;0.872;0.872;0.872;0.872;0.872
12;2;0.744;0.744;0.801;0.857;0.857;0.737;0.737;0.783;0.829;0.829;NaN;NaN;NaN;NaN;NaN;0.800;0.800;0.829;0.857;0.857;0.776;0.776;0.808;0.840;0.840;0.933;0.933;NaN;NaN;NaN;0.909;0.909;0.909;0.909;0.909;NaN;NaN;NaN;NaN;NaN;0.857;0.857;0.870;0.884;0.884

