CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.919;0.954;0.024
LogisticModelTree;0.943;0.838;0.856;0.026
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.023
REPTree;0.930;0.882;0.898;0.026
RandomForest;1.000;1.000;1.000;0.023
RandomCommittee;0.943;0.921;0.906;0.024
J48;0.960;0.911;0.918;0.033

