CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.916;0.954;0.017
LogisticModelTree;1.000;0.804;0.837;0.018
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.017
REPTree;0.947;0.860;0.892;0.017
RandomForest;1.000;1.000;1.000;0.017
RandomCommittee;0.940;0.892;0.913;0.017
J48;0.958;0.867;0.903;0.023

