CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.980;0.990;0.029
LogisticModelTree;0.782;0.649;0.691;0.032
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.029
REPTree;0.872;0.910;0.880;0.029
RandomForest;1.000;1.000;1.000;0.029
RandomCommittee;0.798;0.905;0.781;0.029
J48;0.889;0.873;0.844;0.042

