CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.995;0.911;0.947;0.023
LogisticModelTree;0.919;0.834;0.861;0.027
SVM_RBF[5.0];1.000;0.790;0.878;0.022
SVM_Poly[3,2.0,0.5];0.915;0.969;0.936;0.022
REPTree;0.903;0.789;0.815;0.027
RandomForest;0.999;0.904;0.943;0.022
RandomCommittee;0.981;0.933;0.952;0.022
SVM_Puk[1.0, 0.1];1.000;0.784;0.875;0.022
J48;0.978;0.887;0.924;0.030

