CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.926;0.958;0.021
LogisticModelTree;0.921;0.717;0.757;0.024
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.021
REPTree;0.924;0.822;0.848;0.023
RandomForest;1.000;1.000;1.000;0.021
RandomCommittee;0.937;0.912;0.905;0.022
J48;0.960;0.754;0.813;0.026

