CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.909;0.948;0.001
LogisticModelTree;0.898;0.630;0.666;0.002
SVM_Poly[3,2.0,0.5];1.000;0.999;1.000;0.001
REPTree;0.930;0.812;0.854;0.001
RandomForest;1.000;0.999;1.000;0.001
RandomCommittee;1.000;0.569;0.636;0.002
J48;1.000;0.495;0.539;0.002

