Constraints;Count;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max
0;23;0.666;1.000;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.970;1.000;1.000;1.000;1.000;0.780;0.995;0.996;0.998;1.000;0.007;0.014;0.996;NaN;NaN;0.007;0.014;0.077;0.889;1.000;0.395;0.718;0.848;0.996;NaN
1;8;0.746;0.996;1.000;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.996;0.998;1.000;1.000;1.000;0.990;0.995;0.997;1.000;1.000;0.529;0.967;1.000;NaN;NaN;0.040;0.929;1.000;1.000;NaN;0.573;0.865;0.996;1.000;1.000
2;8;0.247;0.855;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.800;0.889;0.946;0.994;0.995;0.017;0.366;1.000;NaN;NaN;0.286;0.577;1.000;1.000;NaN;0.447;0.851;0.883;0.984;NaN
3;3;0.563;0.563;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.976;0.976;0.992;0.995;0.995;0.020;0.020;0.390;NaN;NaN;0.020;0.020;0.091;0.859;0.859;0.563;0.563;0.647;0.971;0.971
16;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.923;0.923;0.923;0.923;0.923;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.833;0.727;0.727;0.727;0.727;0.727

