CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.901;0.943;0.023
LogisticModelTree;0.918;0.846;0.863;0.027
SVM_RBF[5.0];1.000;0.894;0.941;0.022
SVM_Poly[3,2.0,0.5];0.960;0.988;0.971;0.022
REPTree;0.929;0.801;0.837;0.027
RandomForest;1.000;0.956;0.974;0.022
RandomCommittee;0.996;0.979;0.987;0.022
SVM_Puk[1.0, 0.1];1.000;0.894;0.942;0.022
J48;0.966;0.883;0.912;0.030

