CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.580;0.572;0.558;0.025
LogisticModelTree;0.690;0.565;0.593;0.037
SVM_RBF[5.0];1.000;0.120;0.208;0.025
SVM_Poly[3,2.0,0.5];0.559;0.508;0.508;0.024
REPTree;0.693;0.678;0.669;0.045
RandomForest;0.905;0.339;0.439;0.025
RandomCommittee;0.623;0.505;0.536;0.025
SVM_Puk[1.0, 0.1];1.000;0.117;0.205;0.025
J48;0.856;0.810;0.826;0.058

