CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.913;0.949;0.013
LogisticModelTree;0.927;0.667;0.696;0.015
SVM_Poly[3,2.0,0.5];1.000;0.998;0.999;0.012
REPTree;0.928;0.824;0.851;0.014
RandomForest;1.000;0.998;0.998;0.012
RandomCommittee;0.927;0.771;0.763;0.013
J48;0.948;0.798;0.832;0.019

