CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;0.968;0.877;0.915;0.017;282;1.000;0.906;0.946;0.017;273
LogisticModelTree;0.717;0.567;0.588;0.017;282;0.919;0.726;0.754;0.020;220
SVM_Poly[3,2.0,0.5];1.000;0.999;0.999;0.017;282;1.000;0.999;0.999;0.017;282
REPTree;0.805;0.717;0.738;0.017;282;0.930;0.829;0.853;0.019;244
RandomForest;0.993;0.989;0.991;0.017;282;1.000;0.996;0.998;0.017;280
RandomCommittee;0.898;0.799;0.793;0.017;282;0.931;0.829;0.822;0.017;272
J48;0.523;0.444;0.464;0.017;282;0.946;0.803;0.838;0.024;156


VALIDITY RATIO;(F)
min;0.000046
avg;0.016533
max;0.250488

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.843;0.770;0.784;0.017;1974;0.964;0.881;0.896;0.018;1727

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone;1.000;0.943;0.968;0.010;7;1.000;0.943;0.968;0.010;7
Visit Indonesia Apps;0.765;0.714;0.658;0.010;7;0.893;0.833;0.768;0.010;6
MyDental;0.994;0.990;0.992;0.010;7;0.994;0.990;0.992;0.010;7
Bicis_Feature_Model;0.667;0.510;0.541;0.007;7;0.933;0.714;0.758;0.007;5
test gv;1.000;0.983;0.991;0.032;7;1.000;0.983;0.991;0.032;7
E-Shop, magister2014;0.682;0.699;0.661;0.019;7;0.796;0.816;0.771;0.019;6
MobileMedia_Ibraim;1.000;0.983;0.991;0.001;7;1.000;0.983;0.991;0.001;7
Hello World;0.891;0.820;0.815;0.034;7;0.891;0.820;0.815;0.034;7
Weather Station;0.694;0.662;0.657;0.021;7;0.810;0.773;0.766;0.021;6
Video On Demand SPL FM;0.992;0.908;0.942;0.002;7;0.992;0.908;0.942;0.002;7
depresija;0.997;0.996;0.996;0.016;7;0.997;0.996;0.996;0.016;7
User Model;0.925;0.837;0.867;0.009;7;0.925;0.837;0.867;0.009;7
KIModel;0.714;0.703;0.709;0.002;7;1.000;0.985;0.992;0.002;5
AA;0.813;0.798;0.805;0.017;7;0.949;0.931;0.940;0.017;6
Example Product Line Course Using SPLOT;1.000;0.790;0.865;0.015;7;1.000;0.790;0.865;0.015;7
Disenio;0.714;0.543;0.607;0.005;7;1.000;0.760;0.850;0.005;5
Address Book;1.000;0.994;0.997;0.018;7;1.000;0.994;0.997;0.018;7
MobileMedia_MarinaMB;1.000;0.983;0.991;0.001;7;1.000;0.983;0.991;0.001;7
VODPlayer;0.908;0.895;0.868;0.048;7;0.908;0.895;0.868;0.048;7
i18n;0.683;0.481;0.510;0.002;7;0.956;0.674;0.715;0.002;5
Virtual_Office_of_the_Future;0.744;0.484;0.532;0.003;7;0.868;0.565;0.621;0.003;6
1;1.000;1.000;1.000;0.007;7;1.000;1.000;1.000;0.007;7
rtrt;1.000;1.000;1.000;0.020;7;1.000;1.000;1.000;0.020;7
Sylvain Example;0.753;0.729;0.739;0.004;14;0.959;0.928;0.941;0.004;11
