Constraints;Count;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max
0;72;0.118;0.406;0.689;0.996;NaN;0.057;0.167;0.214;NaN;NaN;0.069;0.965;NaN;NaN;NaN;0.074;0.168;0.230;NaN;NaN;0.034;0.333;0.575;0.933;NaN;0.154;0.787;NaN;NaN;NaN;0.095;0.431;0.797;0.996;NaN;0.364;NaN;NaN;NaN;NaN;0.080;0.230;0.584;0.997;NaN
1;25;0.121;0.400;0.552;0.920;NaN;0.069;0.154;0.197;0.277;NaN;0.533;0.944;NaN;NaN;NaN;0.054;0.180;0.206;0.357;NaN;0.240;0.424;0.646;0.951;NaN;0.071;0.777;NaN;NaN;NaN;0.118;0.454;0.720;0.896;NaN;0.602;NaN;NaN;NaN;NaN;0.105;0.287;0.500;0.928;NaN
2;32;0.111;0.357;0.467;0.627;0.953;0.095;0.154;0.222;0.244;0.345;0.213;0.669;NaN;NaN;NaN;0.041;0.154;0.182;0.224;0.345;0.130;0.324;0.388;0.536;0.864;0.194;0.424;NaN;NaN;NaN;0.132;0.264;0.404;0.556;0.895;0.387;NaN;NaN;NaN;NaN;0.061;0.257;0.371;0.452;NaN
3;9;0.192;0.353;0.395;NaN;NaN;0.074;0.179;0.209;0.293;NaN;0.340;NaN;NaN;NaN;NaN;0.157;0.188;0.242;0.305;0.333;0.270;0.292;0.500;0.625;0.697;0.267;0.403;0.985;NaN;NaN;0.211;0.293;0.397;0.591;0.741;0.727;NaN;NaN;NaN;NaN;0.082;0.162;0.263;0.637;NaN
8;1;0.554;0.554;0.554;0.554;0.554;0.208;0.208;0.208;0.208;0.208;NaN;NaN;NaN;NaN;NaN;0.217;0.217;0.217;0.217;0.217;0.466;0.466;0.466;0.466;0.466;NaN;NaN;NaN;NaN;NaN;0.484;0.484;0.484;0.484;0.484;NaN;NaN;NaN;NaN;NaN;0.421;0.421;0.421;0.421;0.421
10;2;0.687;0.687;0.737;0.787;0.787;0.165;0.165;0.198;0.230;0.230;0.495;0.495;0.542;0.590;0.590;0.192;0.192;0.197;0.202;0.202;0.749;0.749;0.842;0.935;0.935;0.541;0.541;0.726;0.912;0.912;0.628;0.628;0.746;0.865;0.865;0.868;0.868;NaN;NaN;NaN;0.596;0.596;0.612;0.627;0.627
11;1;0.160;0.160;0.160;0.160;0.160;0.308;0.308;0.308;0.308;0.308;NaN;NaN;NaN;NaN;NaN;0.167;0.167;0.167;0.167;0.167;0.114;0.114;0.114;0.114;0.114;NaN;NaN;NaN;NaN;NaN;0.125;0.125;0.125;0.125;0.125;NaN;NaN;NaN;NaN;NaN;0.308;0.308;0.308;0.308;0.308
12;2;0.118;0.118;0.150;0.182;0.182;0.154;0.154;0.220;0.286;0.286;NaN;NaN;NaN;NaN;NaN;0.080;0.080;0.183;0.286;0.286;0.125;0.125;0.127;0.130;0.130;NaN;NaN;NaN;NaN;NaN;0.067;0.067;0.269;0.471;0.471;NaN;NaN;NaN;NaN;NaN;0.154;0.154;NaN;NaN;NaN

