CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.973;0.985;0.012
LogisticModelTree;0.921;0.533;0.580;0.016
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.012
REPTree;0.939;0.851;0.875;0.012
RandomForest;1.000;1.000;1.000;0.012
RandomCommittee;0.876;0.622;0.586;0.012
J48;0.954;0.715;0.761;0.023

