CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.906;0.947;0.023
LogisticModelTree;0.932;0.807;0.822;0.026
SVM_RBF[5.0];1.000;1.000;1.000;0.022
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.022
REPTree;0.943;0.832;0.860;0.026
RandomForest;1.000;1.000;1.000;0.022
RandomCommittee;0.949;0.896;0.890;0.023
SVM_Puk[1.0, 0.1];1.000;0.986;0.992;0.022
J48;0.957;0.825;0.860;0.030

