CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.908;0.948;0.023
LogisticModelTree;0.972;0.872;0.885;0.025
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.022
REPTree;0.941;0.876;0.901;0.025
RandomForest;1.000;1.000;1.000;0.022
RandomCommittee;0.969;0.924;0.927;0.023
J48;0.971;0.917;0.930;0.031

