Constraints;Count;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max
0;199;0.242;0.990;NaN;NaN;NaN;0.667;1.000;1.000;1.000;NaN;0.800;1.000;1.000;1.000;1.000;0.444;0.941;0.986;0.996;NaN;0.005;0.618;1.000;NaN;NaN;0.005;0.415;1.000;1.000;NaN;0.061;0.841;0.966;1.000;NaN
1;80;0.250;0.937;1.000;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.985;1.000;1.000;1.000;1.000;0.786;0.971;0.994;1.000;NaN;0.008;0.702;1.000;NaN;NaN;0.008;0.673;1.000;1.000;NaN;0.429;0.846;0.957;0.999;NaN
2;91;0.099;0.696;0.980;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.643;0.957;0.980;0.996;1.000;0.017;0.421;0.750;1.000;NaN;0.040;0.694;0.984;1.000;NaN;0.222;0.769;0.889;0.980;NaN
3;22;0.286;0.828;0.984;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.901;0.970;0.989;1.000;0.020;0.750;0.992;1.000;NaN;0.020;0.800;1.000;1.000;NaN;0.400;0.741;0.935;0.985;NaN
4;8;0.480;0.714;0.943;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.571;0.848;0.984;1.000;1.000;0.353;0.550;0.864;1.000;NaN;0.333;0.795;1.000;1.000;1.000;0.400;0.812;0.919;0.968;0.999
5;2;0.997;0.997;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.800;0.800;0.899;0.998;0.998;0.500;0.500;0.750;1.000;1.000;0.500;0.500;0.750;1.000;1.000;0.875;0.875;0.936;0.997;0.997
6;2;0.231;0.231;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.647;0.647;0.824;1.000;1.000;0.231;0.231;0.586;0.941;0.941;0.821;0.821;0.910;1.000;1.000;0.667;0.667;0.804;0.941;0.941
7;4;0.930;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.747;0.864;0.900;0.667;0.667;0.833;NaN;NaN;0.522;0.594;0.718;0.885;1.000;0.545;0.606;0.773;0.905;0.930
8;1;0.738;0.738;0.738;0.738;0.738;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.988;0.988;0.988;0.988;0.988;0.738;0.738;0.738;0.738;0.738;0.892;0.892;0.892;0.892;0.892;0.921;0.921;0.921;0.921;0.921
9;2;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.984;0.984;0.992;1.000;1.000;0.167;0.167;0.194;0.222;0.222;0.545;0.545;0.648;0.750;0.750;0.500;0.500;0.647;0.794;0.794
10;2;0.993;0.993;0.994;0.994;0.994;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.868;0.868;0.911;0.953;0.953;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.994;0.994;0.997;1.000;1.000
11;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.952;0.952;0.952;0.952;0.952;0.917;0.917;0.917;0.917;0.917;1.000;1.000;1.000;1.000;1.000;0.667;0.667;0.667;0.667;0.667
12;2;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.957;0.957;0.957;0.957;0.957;0.857;0.857;0.857;0.857;0.857;1.000;1.000;1.000;1.000;1.000;0.667;0.667;NaN;NaN;NaN
14;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.363;0.363;0.363;0.363;0.363
16;2;0.992;0.992;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.923;0.923;0.960;0.996;0.996;0.833;0.833;0.917;1.000;1.000;0.833;0.833;0.917;1.000;1.000;0.727;0.727;0.860;0.992;0.992

