CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.883;0.934;0.030
LogisticModelTree;0.990;0.883;0.916;0.033
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.030
REPTree;0.923;0.843;0.878;0.041
RandomForest;1.000;1.000;1.000;0.030
RandomCommittee;0.975;1.000;0.986;0.030
J48;0.927;0.885;0.890;0.047

