CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.932;0.825;0.861;0.024
LogisticModelTree;0.861;0.786;0.806;0.028
SVM_RBF[5.0];1.000;0.404;0.569;0.022
SVM_Poly[3,2.0,0.5];0.810;0.858;0.816;0.022
REPTree;0.783;0.674;0.697;0.029
RandomForest;0.980;0.685;0.786;0.022
RandomCommittee;0.887;0.789;0.822;0.022
SVM_Puk[1.0, 0.1];1.000;0.418;0.584;0.022
J48;0.926;0.871;0.886;0.035

