CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.902;0.944;0.020
LogisticModelTree;0.925;0.782;0.800;0.023
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.019
REPTree;0.935;0.832;0.858;0.022
RandomForest;1.000;0.995;0.996;0.019
RandomCommittee;0.938;0.862;0.857;0.020
J48;0.951;0.836;0.866;0.028

