CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;1.000;0.907;0.944;0.002;21;1.000;0.907;0.944;0.002;21
LogisticModelTree;0.608;0.440;0.463;0.002;21;0.851;0.616;0.649;0.002;15
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.002;21;1.000;1.000;1.000;0.002;21
REPTree;0.923;0.838;0.861;0.002;21;0.923;0.838;0.861;0.002;21
RandomForest;1.000;0.977;0.985;0.002;21;1.000;0.977;0.985;0.002;21
RandomCommittee;0.714;0.560;0.563;0.002;21;0.938;0.735;0.739;0.002;16
J48;0.550;0.344;0.371;0.002;21;0.962;0.601;0.649;0.002;12


VALIDITY RATIO;(F)
min;0.000011
avg;0.001860
max;0.011635

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.828;0.724;0.741;0.002;147;0.958;0.838;0.858;0.002;127

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Car Software System;0.944;0.726;0.793;0.000;7;0.944;0.726;0.793;0.000;7
a;0.937;0.694;0.743;0.009;7;0.937;0.694;0.743;0.009;7
Graph Product Line;0.946;0.771;0.834;0.001;7;0.946;0.771;0.834;0.001;7
Pruebas Booleanas;0.994;0.559;0.586;0.001;7;0.994;0.559;0.586;0.001;7
E-Commerce;0.705;0.762;0.719;0.001;7;0.823;0.889;0.839;0.001;6
Mobile_Media_Gabriela;1.000;0.980;0.989;0.000;7;1.000;0.980;0.989;0.000;7
Urna-EMF;0.868;0.653;0.718;0.000;7;0.868;0.653;0.718;0.000;7
Cloud Storage Software;0.997;0.995;0.996;0.000;7;0.997;0.995;0.996;0.000;7
Online shopping software;0.747;0.786;0.761;0.000;7;0.871;0.917;0.888;0.000;6
Diagrama de Experimento;1.000;0.992;0.996;0.000;7;1.000;0.992;0.996;0.000;7
Hastane Randevu Sistemi;0.551;0.536;0.543;0.002;7;0.964;0.938;0.950;0.002;4
BuurtPensioen;1.000;1.000;1.000;0.012;7;1.000;1.000;1.000;0.012;7
Data Collection Model;0.833;0.542;0.550;0.001;7;0.972;0.633;0.641;0.001;6
Construtora;0.548;0.478;0.499;0.000;7;0.958;0.837;0.873;0.000;4
Visual Data Graph;0.773;0.714;0.660;0.007;7;0.902;0.833;0.770;0.007;6
HandlingSystem;0.571;0.333;0.403;0.001;7;1.000;0.583;0.705;0.001;4
Linea de Productos;0.571;0.561;0.566;0.000;7;1.000;0.982;0.991;0.000;4
Cruise Control SPL;1.000;0.998;0.999;0.001;7;1.000;0.998;0.999;0.001;7
Requirements Proces Variability;0.852;0.621;0.691;0.000;7;0.994;0.724;0.806;0.000;6
VMS;1.000;0.997;0.998;0.001;7;1.000;0.997;0.998;0.001;7
SmartPhone Device;0.548;0.500;0.518;0.001;7;0.959;0.875;0.906;0.001;4
