Constraints;Count;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max
0;72;0.571;0.919;0.984;1.000;NaN;0.500;0.855;0.889;0.916;NaN;0.061;0.800;0.980;NaN;NaN;0.500;0.857;0.883;0.902;NaN;0.222;0.857;0.981;0.994;1.000;0.345;0.886;0.996;NaN;NaN;0.571;0.897;0.974;0.992;NaN;0.674;0.970;0.993;NaN;NaN;0.500;0.902;0.986;1.000;1.000
1;25;0.800;0.919;0.982;0.996;1.000;0.842;0.876;0.892;0.916;1.000;0.600;0.866;0.933;0.997;NaN;0.706;0.840;0.882;0.915;1.000;0.545;0.970;1.000;1.000;1.000;0.333;0.903;0.995;1.000;NaN;0.800;0.952;0.995;1.000;NaN;0.762;0.937;0.989;1.000;NaN;0.500;0.951;0.984;1.000;1.000
2;32;0.922;0.957;0.982;0.997;1.000;0.800;0.878;0.895;0.909;0.947;0.333;0.540;0.826;0.912;1.000;0.815;0.881;0.901;0.924;0.974;0.938;0.972;0.993;1.000;1.000;0.421;0.681;0.802;1.000;NaN;0.889;0.966;0.966;0.996;1.000;0.667;0.851;0.906;0.996;NaN;0.879;0.933;0.962;0.987;1.000
3;9;0.842;0.951;0.991;1.000;1.000;0.750;0.828;0.895;0.908;0.915;0.400;0.688;0.889;0.992;NaN;0.857;0.875;0.894;0.950;0.968;0.783;0.980;0.985;0.999;1.000;0.866;0.958;1.000;NaN;NaN;0.783;0.911;0.982;0.991;1.000;0.818;0.925;0.985;NaN;NaN;0.824;0.915;0.964;0.995;1.000
8;1;1.000;1.000;1.000;1.000;1.000;0.892;0.892;0.892;0.892;0.892;0.880;0.880;0.880;0.880;0.880;0.896;0.896;0.896;0.896;0.896;0.985;0.985;0.985;0.985;0.985;0.822;0.822;0.822;0.822;0.822;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.994;0.994;0.994;0.994;0.994
10;2;1.000;1.000;1.000;1.000;1.000;0.844;0.844;0.869;0.894;0.894;0.993;0.993;0.994;0.994;0.994;0.868;0.868;0.874;0.881;0.881;0.990;0.990;0.992;0.994;0.994;0.997;0.997;0.998;1.000;1.000;0.868;0.868;0.885;0.901;0.901;0.947;0.947;0.970;0.993;0.993;0.997;0.997;0.998;1.000;1.000
11;1;0.930;0.930;0.930;0.930;0.930;0.778;0.778;0.778;0.778;0.778;NaN;NaN;NaN;NaN;NaN;0.927;0.927;0.927;0.927;0.927;0.936;0.936;0.936;0.936;0.936;0.400;0.400;0.400;0.400;0.400;0.952;0.952;0.952;0.952;0.952;NaN;NaN;NaN;NaN;NaN;0.930;0.930;0.930;0.930;0.930
12;2;0.936;0.936;0.957;0.979;0.979;0.884;0.884;0.896;0.909;0.909;NaN;NaN;NaN;NaN;NaN;0.829;0.829;0.869;0.909;0.909;0.906;0.906;0.914;0.923;0.923;0.556;0.556;NaN;NaN;NaN;0.957;0.957;0.957;0.957;0.957;NaN;NaN;NaN;NaN;NaN;0.857;0.857;0.870;0.884;0.884

