CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.914;0.950;0.014
LogisticModelTree;0.920;0.691;0.719;0.017
SVM_Poly[3,2.0,0.5];1.000;0.999;0.999;0.014
REPTree;0.928;0.825;0.850;0.016
RandomForest;1.000;0.997;0.998;0.014
RandomCommittee;0.920;0.798;0.784;0.014
J48;0.945;0.808;0.839;0.021

