Constraints;Count;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max
0;72;0.400;0.667;0.860;0.978;NaN;0.286;0.516;0.585;0.641;NaN;0.160;0.772;0.994;NaN;NaN;0.286;0.554;0.591;0.636;NaN;0.182;0.648;0.903;0.977;NaN;0.276;0.712;0.989;NaN;NaN;0.308;0.800;0.974;0.992;NaN;0.558;0.985;NaN;NaN;NaN;0.400;0.667;0.812;0.975;NaN
1;25;0.444;0.785;0.909;0.980;NaN;0.286;0.522;0.563;0.623;0.800;0.222;0.758;0.933;NaN;NaN;0.400;0.500;0.536;0.620;NaN;0.200;0.800;0.933;0.984;1.000;0.364;0.823;0.960;NaN;NaN;0.286;0.898;0.976;1.000;NaN;0.727;0.863;0.995;NaN;NaN;0.286;0.733;0.874;0.975;1.000
2;32;0.603;0.736;0.830;0.892;0.992;0.442;0.521;0.584;0.635;0.737;0.167;0.472;0.590;0.908;NaN;0.476;0.554;0.574;0.632;0.691;0.525;0.787;0.872;0.960;1.000;0.125;0.724;0.918;1.000;NaN;0.571;0.860;0.948;0.985;1.000;0.667;0.820;0.986;NaN;NaN;0.400;0.688;0.743;0.829;1.000
3;9;0.308;0.732;0.857;0.930;0.985;0.333;0.495;0.550;0.611;0.618;0.333;0.470;0.720;NaN;NaN;0.476;0.534;0.578;0.660;0.824;0.353;0.681;0.876;0.967;0.985;0.200;0.570;0.985;NaN;NaN;0.364;0.769;0.896;0.984;1.000;0.587;0.783;0.985;NaN;NaN;0.333;0.494;0.748;0.864;0.985
8;1;0.940;0.940;0.940;0.940;0.940;0.445;0.445;0.445;0.445;0.445;0.738;0.738;0.738;0.738;0.738;0.555;0.555;0.555;0.555;0.555;0.968;0.968;0.968;0.968;0.968;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.921;0.921;0.921;0.921;0.921
10;2;0.849;0.849;0.921;0.993;0.993;0.583;0.583;0.612;0.641;0.641;0.837;0.837;0.915;0.993;0.993;0.565;0.565;0.576;0.587;0.587;0.915;0.915;0.952;0.990;0.990;0.959;0.959;0.978;0.997;0.997;0.868;0.868;0.891;0.915;0.915;0.732;0.732;0.863;0.993;0.993;0.921;0.921;0.950;0.979;0.979
11;1;0.864;0.864;0.864;0.864;0.864;0.483;0.483;0.483;0.483;0.483;0.133;0.133;0.133;0.133;0.133;0.370;0.370;0.370;0.370;0.370;0.679;0.679;0.679;0.679;0.679;NaN;NaN;NaN;NaN;NaN;0.444;0.444;0.444;0.444;0.444;NaN;NaN;NaN;NaN;NaN;0.703;0.703;0.703;0.703;0.703
12;2;0.564;0.564;0.641;0.718;0.718;0.286;0.286;0.457;0.629;0.629;0.500;0.500;NaN;NaN;NaN;0.629;0.629;0.648;0.667;0.667;0.537;0.537;0.588;0.640;0.640;0.267;0.267;NaN;NaN;NaN;0.739;0.739;0.750;0.760;0.760;NaN;NaN;NaN;NaN;NaN;0.579;0.579;0.604;0.629;0.629

