CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.911;0.948;0.019
LogisticModelTree;0.934;0.768;0.793;0.021
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.018
REPTree;0.930;0.852;0.876;0.020
RandomForest;1.000;1.000;1.000;0.018
RandomCommittee;0.942;0.852;0.843;0.019
J48;0.961;0.846;0.866;0.027

