Constraints;Count;StochasticGradientDescend_min;StochasticGradientDescend_Q1;StochasticGradientDescend_Q2;StochasticGradientDescend_Q3;StochasticGradientDescend_max;HoeffdingTree_min;HoeffdingTree_Q1;HoeffdingTree_Q2;HoeffdingTree_Q3;HoeffdingTree_max;KStar_min;KStar_Q1;KStar_Q2;KStar_Q3;KStar_max;NaiveBayesUpdateable_min;NaiveBayesUpdateable_Q1;NaiveBayesUpdateable_Q2;NaiveBayesUpdateable_Q3;NaiveBayesUpdateable_max;LWL_min;LWL_Q1;LWL_Q2;LWL_Q3;LWL_max;IBk_min;IBk_Q1;IBk_Q2;IBk_Q3;IBk_max
0;5;0.218;NaN;NaN;NaN;NaN;0.001;0.002;0.003;NaN;NaN;0.593;0.795;NaN;NaN;NaN;0.998;NaN;NaN;NaN;NaN;0.593;0.795;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000
1;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.000;1.000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.000;1.000;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000
2;2;0.125;0.125;NaN;NaN;NaN;0.011;0.011;0.342;0.672;0.672;0.964;0.964;NaN;NaN;NaN;0.438;0.438;NaN;NaN;NaN;0.964;0.964;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000
3;1;NaN;NaN;NaN;NaN;NaN;0.365;0.365;0.365;0.365;0.365;0.880;0.880;0.880;0.880;0.880;NaN;NaN;NaN;NaN;NaN;0.880;0.880;0.880;0.880;0.880;1.000;1.000;1.000;1.000;1.000

