CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.920;0.955;0.020
LogisticModelTree;0.936;0.789;0.814;0.023
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.020
REPTree;0.931;0.874;0.892;0.022
RandomForest;1.000;1.000;1.000;0.020
RandomCommittee;0.936;0.886;0.870;0.020
J48;0.965;0.860;0.879;0.029

