Constraints;Count;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max
0;6;0.750;0.799;0.971;1.000;1.000;0.995;0.996;0.997;1.000;1.000;0.996;1.000;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.407;0.996;1.000;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.007;0.014;0.834;1.000;1.000
2;2;0.855;0.855;0.862;0.870;0.870;0.889;0.889;0.941;0.994;0.994;0.247;0.247;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.247;0.247;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.286;0.286;0.643;1.000;1.000
3;2;0.563;0.563;0.767;0.971;0.971;0.992;0.992;0.993;0.995;0.995;0.563;0.563;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.020;0.020;0.205;0.390;0.390;1.000;1.000;1.000;1.000;1.000;0.020;0.020;0.440;0.859;0.859

