CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.908;0.946;0.016
LogisticModelTree;0.934;0.751;0.780;0.018
SVM_Poly[3,2.0,0.5];1.000;0.997;0.998;0.015
REPTree;0.933;0.848;0.876;0.017
RandomForest;1.000;1.000;1.000;0.016
RandomCommittee;0.949;0.819;0.818;0.016
J48;0.967;0.803;0.831;0.022

