CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.888;0.937;0.016
LogisticModelTree;0.969;0.999;0.982;0.017
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.014
REPTree;0.956;0.877;0.911;0.018
RandomForest;1.000;1.000;1.000;0.016
RandomCommittee;1.000;0.905;0.917;0.016
J48;1.000;0.972;0.986;0.022

