CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;0.983;0.892;0.929;0.023
LogisticModelTree;0.917;0.841;0.863;0.027
SVM_RBF[5.0];1.000;0.715;0.830;0.022
SVM_Poly[3,2.0,0.5];0.889;0.943;0.905;0.022
REPTree;0.879;0.769;0.799;0.028
RandomForest;0.995;0.866;0.918;0.022
RandomCommittee;0.969;0.910;0.934;0.022
SVM_Puk[1.0, 0.1];1.000;0.694;0.815;0.022
J48;0.967;0.890;0.921;0.031

