Constraints;Count;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max
0;2;0.732;0.732;0.852;0.972;0.972;0.795;0.795;0.894;0.993;0.993;0.495;0.495;0.745;0.995;0.995;1.000;1.000;1.000;1.000;1.000;0.495;0.495;0.745;0.995;0.995;0.995;0.995;0.997;1.000;1.000;0.510;0.510;0.755;1.000;1.000
1;3;0.936;0.936;0.998;1.000;1.000;0.786;0.786;0.980;1.000;1.000;0.780;0.780;0.998;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.680;0.680;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
2;5;0.381;0.636;0.934;NaN;NaN;0.857;0.873;0.992;0.998;1.000;0.149;0.323;1.000;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.222;0.352;0.543;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.733;0.796;1.000;1.000;1.000

