CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
MultilayerPerceptron;1.000;0.909;0.947;0.016
LogisticModelTree;0.917;0.712;0.741;0.018
SVM_Poly[3,2.0,0.5];1.000;0.999;0.999;0.015
REPTree;0.927;0.832;0.854;0.017
RandomForest;1.000;0.997;0.998;0.015
RandomCommittee;0.918;0.834;0.819;0.016
J48;0.950;0.798;0.835;0.022

