CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.699;0.178;0.276;0.003;24;0.932;0.238;0.368;0.004;18
SVM_Poly[3,2.0,0.5];0.912;0.717;0.795;0.003;24;0.912;0.717;0.795;0.003;24
PART;0.649;0.646;0.638;0.003;24;0.866;0.861;0.851;0.004;18
REPTree;0.219;0.250;0.230;0.003;24;0.875;1.000;0.921;0.001;6
RandomForest;0.970;0.247;0.385;0.003;24;0.970;0.247;0.385;0.003;24
RandomCommittee;0.950;0.420;0.568;0.003;24;0.950;0.420;0.568;0.003;24
JRip;0.450;0.192;0.264;0.003;24;0.900;0.383;0.528;0.005;12
J48;0.000;0.000;0.000;0.003;24;0.000;0.000;0.000;0.000;0


VALIDITY RATIO;(F)
min;0.000977
avg;0.003174
max;0.008789

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.2];0.606;0.331;0.394;0.003;192;0.924;0.505;0.601;0.003;126

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CTOS MODEL;0.651;0.340;0.383;0.001;48;0.869;0.454;0.511;0.001;36
Linha de produtos - SimulES e PnP;0.726;0.405;0.499;0.009;48;0.967;0.539;0.666;0.009;36
Carro Model;0.558;0.221;0.304;0.002;48;0.892;0.353;0.487;0.002;30
Mobile Phone, until relase 5;0.490;0.359;0.391;0.001;48;0.979;0.719;0.782;0.001;24
