CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.743;0.412;0.505;0.007;84;0.800;0.444;0.544;0.007;78
SVM_Poly[3,2.0,0.5];0.760;0.620;0.658;0.007;84;0.819;0.668;0.709;0.007;78
PART;0.541;0.396;0.432;0.007;84;0.758;0.555;0.605;0.009;60
REPTree;0.239;0.223;0.224;0.007;84;0.670;0.625;0.628;0.010;30
RandomForest;0.813;0.424;0.513;0.007;84;0.949;0.494;0.598;0.008;72
RandomCommittee;0.678;0.410;0.471;0.007;84;0.863;0.522;0.599;0.008;66
JRip;0.368;0.310;0.313;0.007;84;0.737;0.619;0.625;0.008;42
J48;0.071;0.060;0.065;0.007;84;0.990;0.840;0.909;0.039;6


VALIDITY RATIO;(F)
min;0.000122
avg;0.006818
max;0.038940

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.3];0.527;0.357;0.398;0.007;672;0.819;0.555;0.618;0.009;432

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.554;0.320;0.390;0.002;48;0.739;0.427;0.520;0.002;36
CIMS PL;0.104;0.125;0.111;0.001;48;0.833;1.000;0.889;0.001;6
Phone sple;0.467;0.301;0.354;0.026;48;0.747;0.481;0.567;0.026;30
FM1;0.125;0.125;0.125;0.000;48;1.000;1.000;1.000;0.000;6
SmartHome_vConejero_r1;0.406;0.375;0.375;0.001;48;0.813;0.750;0.750;0.001;24
CTOS MODEL;0.537;0.354;0.416;0.001;48;0.716;0.472;0.555;0.001;36
Test;0.384;0.071;0.117;0.003;48;0.767;0.143;0.233;0.003;24
Linha de produtos - SimulES e PnP;0.764;0.563;0.640;0.009;48;0.873;0.643;0.731;0.009;42
Carro Model;0.622;0.308;0.383;0.002;48;0.711;0.352;0.437;0.002;42
mon model;0.519;0.188;0.267;0.006;48;0.830;0.300;0.427;0.006;30
CFDP Library;0.968;0.870;0.913;0.039;48;0.968;0.870;0.913;0.039;48
Text Editor;0.444;0.284;0.329;0.003;48;0.710;0.455;0.527;0.003;30
KIModel;0.646;0.354;0.372;0.001;48;0.861;0.472;0.496;0.001;36
Mobile Phone, until relase 5;0.835;0.758;0.774;0.001;48;0.954;0.866;0.885;0.001;42
