CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.481;0.315;0.381;0.014;12;0.963;0.630;0.761;0.026;6
SVM_Poly[3,2.0,0.5];0.985;0.889;0.932;0.014;12;0.985;0.889;0.932;0.014;12
PART;0.423;0.370;0.394;0.014;12;0.847;0.741;0.787;0.026;6
REPTree;0.000;0.000;0.000;0.014;12;0.000;0.000;0.000;0.000;0
RandomForest;1.000;0.815;0.886;0.014;12;1.000;0.815;0.886;0.014;12
RandomCommittee;0.959;0.852;0.898;0.014;12;0.959;0.852;0.898;0.014;12
JRip;0.461;0.426;0.443;0.014;12;0.922;0.852;0.885;0.026;6
J48;0.445;0.333;0.381;0.014;12;0.889;0.667;0.761;0.026;6


VALIDITY RATIO;(F)
min;0.000977
avg;0.013672
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.6];0.594;0.500;0.539;0.014;96;0.951;0.800;0.863;0.019;60

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CIMS PL;0.375;0.375;0.375;0.001;48;1.000;1.000;1.000;0.001;18
Phone sple;0.814;0.625;0.703;0.026;48;0.930;0.714;0.804;0.026;42
