CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.214;0.193;0.199;0.011;24;0.428;0.387;0.397;0.020;12
SVM_Poly[3,2.0,0.5];0.195;0.183;0.189;0.011;24;0.780;0.734;0.756;0.039;6
PART;0.286;0.555;0.344;0.011;24;0.381;0.740;0.458;0.014;18
REPTree;0.203;0.163;0.181;0.011;24;0.813;0.652;0.723;0.039;6
RandomForest;0.500;0.182;0.243;0.011;24;1.000;0.363;0.487;0.020;12
RandomCommittee;0.407;0.272;0.322;0.011;24;0.815;0.545;0.644;0.020;12
JRip;0.195;0.186;0.190;0.011;24;0.780;0.743;0.760;0.039;6
J48;0.214;0.150;0.177;0.011;24;0.857;0.602;0.707;0.039;6


VALIDITY RATIO;(F)
min;0.000122
avg;0.010620
max;0.038940

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.277;0.236;0.231;0.011;192;0.681;0.580;0.568;0.025;78

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.273;0.156;0.147;0.002;48;0.546;0.313;0.294;0.002;24
CFDP Library;0.819;0.703;0.749;0.039;48;0.819;0.703;0.749;0.039;48
FM1;0.000;0.000;0.000;0.000;48;0.000;0.000;0.000;0.000;0
KIModel;0.016;0.083;0.026;0.001;48;0.125;0.667;0.211;0.001;6
