CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.420;0.309;0.349;0.008;24;0.559;0.412;0.465;0.010;18
SVM_Poly[3,2.0,0.5];0.643;0.540;0.532;0.008;24;0.643;0.540;0.532;0.008;24
PART;0.153;0.037;0.059;0.008;24;0.611;0.148;0.236;0.026;6
REPTree;0.000;0.000;0.000;0.008;24;0.000;0.000;0.000;0.000;0
RandomForest;0.699;0.443;0.488;0.008;24;0.933;0.591;0.651;0.010;18
RandomCommittee;0.617;0.415;0.398;0.008;24;0.822;0.554;0.530;0.010;18
JRip;0.000;0.000;0.000;0.008;24;0.000;0.000;0.000;0.000;0
J48;0.000;0.000;0.000;0.008;24;0.000;0.000;0.000;0.000;0


VALIDITY RATIO;(F)
min;0.000977
avg;0.007935
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.3];0.316;0.218;0.228;0.008;192;0.723;0.498;0.522;0.011;84

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SmartHome_vConejero_r1;0.385;0.375;0.358;0.001;48;0.771;0.750;0.715;0.001;24
Test;0.340;0.071;0.112;0.003;48;0.680;0.143;0.225;0.003;24
CIMS PL;0.073;0.125;0.090;0.001;48;0.583;1.000;0.722;0.001;6
Phone sple;0.467;0.301;0.353;0.026;48;0.748;0.481;0.565;0.026;30
