CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;1.000;0.939;0.967;0.007;36;1.000;0.939;0.967;0.007;36
SVM_Poly[3,2.0,0.5];1.000;0.970;0.984;0.007;36;1.000;0.970;0.984;0.007;36
PART;0.443;0.448;0.434;0.007;36;0.885;0.897;0.869;0.010;18
REPTree;0.326;0.114;0.160;0.007;36;0.979;0.343;0.479;0.016;12
RandomForest;0.996;0.973;0.984;0.007;36;0.996;0.973;0.984;0.007;36
RandomCommittee;1.000;0.834;0.898;0.007;36;1.000;0.834;0.898;0.007;36
JRip;0.559;0.365;0.405;0.007;36;0.838;0.548;0.607;0.010;24
J48;0.158;0.154;0.156;0.007;36;0.946;0.926;0.935;0.026;6


VALIDITY RATIO;(F)
min;0.000977
avg;0.006714
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.9];0.685;0.600;0.623;0.007;288;0.967;0.847;0.880;0.008;204

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SmartHome_vConejero_r1;0.594;0.563;0.563;0.001;48;0.950;0.900;0.900;0.001;30
Test;0.580;0.518;0.545;0.003;48;0.928;0.829;0.872;0.003;30
CIMS PL;0.500;0.500;0.500;0.001;48;1.000;1.000;1.000;0.001;24
mon model;0.750;0.495;0.546;0.006;48;1.000;0.660;0.728;0.006;36
Text Editor;0.720;0.625;0.664;0.003;48;0.959;0.833;0.885;0.003;36
Phone sple;0.968;0.898;0.924;0.026;48;0.968;0.898;0.924;0.026;48
