CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;1.000;0.899;0.943;0.007;36;1.000;0.899;0.943;0.007;36
SVM_Poly[3,2.0,0.5];0.979;0.973;0.975;0.007;36;0.979;0.973;0.975;0.007;36
PART;0.600;0.601;0.579;0.007;36;0.720;0.721;0.695;0.008;30
REPTree;0.278;0.164;0.205;0.007;36;0.556;0.328;0.410;0.004;18
RandomForest;1.000;0.873;0.928;0.007;36;1.000;0.873;0.928;0.007;36
RandomCommittee;0.947;0.928;0.935;0.007;36;0.947;0.928;0.935;0.007;36
JRip;0.438;0.248;0.290;0.007;36;0.875;0.497;0.580;0.012;18
J48;0.149;0.154;0.152;0.007;36;0.893;0.926;0.909;0.026;6


VALIDITY RATIO;(F)
min;0.000977
avg;0.006714
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.8];0.674;0.605;0.626;0.007;288;0.898;0.807;0.834;0.008;216

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SmartHome_vConejero_r1;0.563;0.625;0.583;0.001;48;0.900;1.000;0.933;0.001;30
Test;0.594;0.518;0.544;0.003;48;0.792;0.690;0.725;0.003;36
CIMS PL;0.500;0.500;0.500;0.001;48;1.000;1.000;1.000;0.001;24
mon model;0.823;0.635;0.683;0.006;48;0.940;0.726;0.781;0.006;42
Text Editor;0.742;0.625;0.676;0.003;48;0.848;0.714;0.773;0.003;42
Phone sple;0.821;0.727;0.768;0.026;48;0.938;0.831;0.878;0.026;42
