CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.516;0.470;0.479;0.016;1435;0.904;0.824;0.840;0.024;819
SVM_Poly[3,2.0,0.5];0.981;0.980;0.979;0.016;1435;0.984;0.984;0.982;0.016;1430
REPTree;0.559;0.477;0.495;0.016;1435;0.868;0.740;0.769;0.022;924
RandomForest;0.993;0.940;0.963;0.016;1435;0.997;0.944;0.967;0.016;1429
RandomCommittee;0.977;0.951;0.962;0.016;1435;0.981;0.955;0.966;0.016;1429
MultilayerPerceptron[a];0.953;0.905;0.924;0.016;1435;0.992;0.942;0.962;0.017;1379
J48;0.425;0.396;0.405;0.016;1435;0.949;0.883;0.903;0.029;643


VALIDITY RATIO;(F)
min;0.000061
avg;0.016055
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.9];0.772;0.731;0.744;0.016;10045;0.963;0.912;0.928;0.019;8053

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone;0.606;0.534;0.560;0.010;35;0.923;0.813;0.852;0.010;23
Visit Indonesia Apps;0.835;0.709;0.745;0.010;35;0.913;0.775;0.815;0.010;32
Buzzard Radio play DB;1.000;1.000;1.000;0.027;35;1.000;1.000;1.000;0.027;35
MyDental;0.971;0.997;0.983;0.010;35;0.971;0.997;0.983;0.010;35
Bicis_Feature_Model;0.545;0.529;0.532;0.006;35;0.954;0.925;0.931;0.006;20
test gv;1.000;1.000;1.000;0.031;35;1.000;1.000;1.000;0.031;35
E-Shop, magister2014;0.684;0.600;0.620;0.018;35;0.887;0.778;0.804;0.018;27
pruebapalabras;0.908;0.825;0.859;0.004;35;0.935;0.849;0.885;0.004;34
Alarm System;0.579;0.526;0.547;0.005;35;0.966;0.876;0.912;0.005;21
Hello World;0.891;0.918;0.901;0.034;35;0.918;0.945;0.928;0.034;34
Weather Station;0.712;0.614;0.642;0.021;35;0.923;0.796;0.833;0.021;27
Video On Demand SPL FM;0.595;0.520;0.550;0.002;35;0.946;0.827;0.874;0.002;22
depresija;0.995;0.999;0.997;0.016;35;0.995;0.999;0.997;0.016;35
User Model;0.954;0.937;0.944;0.009;35;0.954;0.937;0.944;0.009;35
KIModel;0.780;0.743;0.753;0.001;35;0.975;0.929;0.941;0.001;28
AA;0.724;0.654;0.672;0.016;35;0.938;0.847;0.871;0.016;27
Example Product Line Course Using SPLOT;0.631;0.580;0.595;0.014;35;0.920;0.845;0.868;0.014;24
Disenio;0.524;0.486;0.498;0.004;35;0.918;0.850;0.872;0.004;20
Address Book;1.000;1.000;1.000;0.018;35;1.000;1.000;1.000;0.018;35
VODPlayer;0.916;0.973;0.937;0.047;35;0.916;0.973;0.937;0.047;35
Virtual_Office_of_the_Future;0.818;0.668;0.721;0.003;35;0.955;0.780;0.841;0.003;30
i18n;0.560;0.556;0.558;0.002;35;0.981;0.972;0.976;0.002;20
1;0.941;0.996;0.966;0.007;35;0.941;0.996;0.966;0.007;35
rtrt;0.989;0.977;0.981;0.020;35;0.989;0.977;0.981;0.020;35
Sylvain Example;0.609;0.553;0.574;0.004;70;0.927;0.842;0.874;0.004;46
RE;1.000;1.000;1.000;0.012;35;1.000;1.000;1.000;0.012;35
Car PL;0.739;0.595;0.639;0.005;35;0.958;0.771;0.828;0.005;27
PhysEval;0.973;0.914;0.938;0.003;35;0.973;0.914;0.938;0.003;35
JCS;0.960;0.919;0.936;0.023;35;0.960;0.919;0.936;0.023;35
MarketPlace-Sample;0.521;0.457;0.475;0.000;35;0.961;0.842;0.875;0.000;19
Mobile Media;0.577;0.508;0.533;0.002;70;0.985;0.867;0.910;0.002;41
Clinica Medica;0.681;0.655;0.660;0.001;35;0.954;0.917;0.924;0.001;25
search-engine;0.886;0.752;0.796;0.011;70;0.940;0.798;0.844;0.011;66
Website;1.000;1.000;1.000;0.031;35;1.000;1.000;1.000;0.031;35
FM1;0.314;0.314;0.314;0.000;35;1.000;1.000;1.000;0.000;11
Mauricio Alférez;0.826;0.826;0.822;0.005;35;0.964;0.963;0.958;0.005;30
Mobile Media JULIO;0.987;0.960;0.971;0.001;35;0.987;0.960;0.971;0.001;35
SA;0.975;0.984;0.979;0.011;35;0.975;0.984;0.979;0.011;35
MobileMedia;0.957;0.929;0.936;0.028;70;0.957;0.929;0.936;0.028;70
Carro Model;0.583;0.524;0.548;0.002;35;0.971;0.873;0.914;0.002;21
cell phones SPL;0.593;0.534;0.557;0.002;35;0.943;0.849;0.887;0.002;22
MiniTV;0.999;1.000;0.999;0.015;35;0.999;1.000;0.999;0.015;35
IntelligentTutoringSystem;0.999;0.998;0.998;0.021;35;0.999;0.998;0.998;0.021;35
IDE4OCL;1.000;1.000;1.000;0.004;35;1.000;1.000;1.000;0.004;35
Multiplicador de n matrices;0.595;0.537;0.557;0.004;35;0.947;0.854;0.886;0.004;22
Cell-Phone-SPL-2014;0.620;0.529;0.559;0.002;35;0.943;0.804;0.851;0.002;23
HADAS-security;0.522;0.511;0.512;0.001;35;0.914;0.894;0.895;0.001;20
Tripeo;0.841;0.848;0.843;0.001;35;0.981;0.989;0.983;0.001;30
Wewq;0.343;0.343;0.343;0.000;35;1.000;1.000;1.000;0.000;12
a;0.958;0.840;0.882;0.010;35;0.958;0.840;0.882;0.010;35
Content model;0.967;0.973;0.970;0.022;35;0.967;0.973;0.970;0.022;35
SmartHotel;0.879;0.770;0.809;0.012;35;0.905;0.793;0.833;0.012;34
G10-music player;0.993;0.998;0.995;0.008;35;0.993;0.998;0.995;0.008;35
asdsfa ewtwwe;0.686;0.676;0.678;0.006;35;0.960;0.947;0.949;0.006;25
Farnaz koohestani;0.400;0.400;0.400;0.000;35;1.000;1.000;1.000;0.000;14
Feature Tree Example;0.620;0.607;0.609;0.008;35;0.943;0.924;0.926;0.008;23
Dental Surgery;0.571;0.571;0.571;0.002;35;1.000;1.000;1.000;0.002;20
disenio II;0.974;0.968;0.970;0.029;35;0.974;0.968;0.970;0.029;35
r;0.849;0.661;0.704;0.041;35;0.959;0.746;0.795;0.041;31
FeatureModel1;1.000;1.000;1.000;0.016;35;1.000;1.000;1.000;0.016;35
poker spl;0.735;0.635;0.666;0.010;35;0.952;0.824;0.863;0.010;27
Simnumero;0.568;0.514;0.536;0.008;35;0.904;0.818;0.853;0.008;22
abcdefg;0.580;0.562;0.568;0.006;35;0.967;0.937;0.947;0.006;21
MPES2016-2.Reuso2;0.563;0.557;0.559;0.001;35;0.986;0.975;0.978;0.001;20
Mobile-Phone;0.722;0.596;0.625;0.014;35;0.972;0.802;0.841;0.014;26
Simple Drawing Tools;0.998;1.000;0.999;0.116;35;0.998;1.000;0.999;0.116;35
WebApp;1.000;1.000;1.000;0.156;35;1.000;1.000;1.000;0.156;35
teste;0.589;0.571;0.578;0.001;35;0.938;0.909;0.920;0.001;22
Smart Queue;0.800;0.764;0.778;0.000;35;1.000;0.955;0.973;0.000;28
Cell-Phone-SPL-2014-Part2;0.648;0.587;0.607;0.004;35;0.986;0.893;0.923;0.004;23
Matrix chain multiplication;0.561;0.509;0.533;0.007;35;0.982;0.890;0.932;0.007;20
Phone sple;0.955;0.893;0.918;0.026;35;0.955;0.893;0.918;0.026;35
Manuel;0.704;0.632;0.657;0.009;35;0.948;0.850;0.884;0.009;26
Mobile phone (lenita);0.628;0.563;0.585;0.014;35;0.956;0.857;0.890;0.014;23
27-5-207 test;0.949;0.865;0.897;0.021;35;0.977;0.890;0.923;0.021;34
Congress Assistant;0.932;0.877;0.897;0.012;35;0.932;0.877;0.897;0.012;35
Test;0.608;0.564;0.579;0.010;70;0.925;0.858;0.881;0.010;46
mon model;0.592;0.557;0.569;0.006;35;0.942;0.886;0.905;0.006;22
Veículo;0.909;0.801;0.841;0.010;35;0.964;0.849;0.892;0.010;33
Xor Example 2;1.000;0.958;0.977;0.035;35;1.000;0.958;0.977;0.035;35
Cell-Phone-SPL-2014-Mined;0.747;0.581;0.615;0.004;35;0.968;0.753;0.798;0.004;27
XOR NEW;1.000;0.979;0.989;0.043;35;1.000;0.979;0.989;0.043;35
Homepage based on wiki;0.786;0.688;0.714;0.003;35;0.982;0.860;0.892;0.003;28
test_fm;0.857;0.843;0.848;0.002;35;1.000;0.983;0.989;0.002;30
Bandymas;0.962;0.983;0.970;0.018;35;0.962;0.983;0.970;0.018;35
Attempt of mine;0.981;1.000;0.990;0.032;35;0.981;1.000;0.990;0.032;35
smartPhone;0.985;1.000;0.992;0.011;35;0.985;1.000;0.992;0.011;35
Rotation1;0.814;0.760;0.783;0.005;35;0.983;0.917;0.945;0.005;29
Cellphone;0.591;0.543;0.560;0.007;35;0.940;0.864;0.891;0.007;22
UML-IDE-TOOL;1.000;1.000;1.000;0.094;35;1.000;1.000;1.000;0.094;35
Basic Car;0.947;0.957;0.951;0.008;35;0.975;0.985;0.979;0.008;34
SPL Studies;0.775;0.648;0.682;0.033;70;0.935;0.782;0.823;0.034;58
testISA2012;0.631;0.567;0.577;0.014;35;0.960;0.863;0.878;0.014;23
Match engine;1.000;1.000;1.000;0.016;35;1.000;1.000;1.000;0.016;35
mobile phone;0.681;0.652;0.661;0.025;35;0.916;0.877;0.890;0.025;26
Video On Demand FM;0.592;0.546;0.566;0.002;35;0.943;0.869;0.901;0.002;22
Assistente de Compras;0.776;0.686;0.712;0.012;35;0.970;0.857;0.890;0.012;28
Smartwatch;1.000;1.000;1.000;0.004;35;1.000;1.000;1.000;0.004;35
Mobile Phone;0.621;0.577;0.590;0.014;70;0.925;0.859;0.879;0.014;47
JPlug;0.944;0.770;0.838;0.005;35;0.944;0.770;0.838;0.005;35
ROOT;1.000;1.000;1.000;0.047;35;1.000;1.000;1.000;0.047;35
UPT_RM_MOBILE;0.628;0.573;0.588;0.014;35;0.956;0.873;0.896;0.014;23
WB2;0.975;0.948;0.960;0.049;35;0.975;0.948;0.960;0.049;35
Celulares;1.000;0.999;0.999;0.025;35;1.000;0.999;0.999;0.025;35
WB;0.994;0.993;0.993;0.039;35;0.994;0.993;0.993;0.039;35
Dummy Car;0.560;0.540;0.547;0.002;35;0.980;0.944;0.958;0.002;20
Stamppy;0.982;1.000;0.990;0.003;35;0.982;1.000;0.990;0.003;35
