CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Phone;1.000;0.994;0.997;0.045;7;1.000;0.994;0.997;0.045;7
celular;0.571;0.571;0.571;0.011;7;1.000;1.000;1.000;0.011;4
Match de foot;1.000;1.000;1.000;0.008;7;1.000;1.000;1.000;0.008;7
CarExample;0.571;0.429;0.471;0.001;7;1.000;0.750;0.825;0.001;4
Ooredoo;0.560;0.524;0.539;0.004;7;0.981;0.917;0.944;0.004;4
Eval_board;0.429;0.429;0.429;0.002;7;1.000;1.000;1.000;0.002;3
Sample;0.643;0.714;0.667;0.031;7;0.900;1.000;0.933;0.031;5
rotation;0.571;0.571;0.571;0.001;7;1.000;1.000;1.000;0.001;4
collapse_view_example;0.696;0.452;0.482;0.015;7;0.975;0.632;0.674;0.015;5
Sisgeo;1.000;0.998;0.999;0.063;7;1.000;0.998;0.999;0.063;7
gs;0.571;0.469;0.492;0.041;7;1.000;0.821;0.861;0.041;4
HDMR-Paper;0.571;0.571;0.571;0.002;7;1.000;1.000;1.000;0.002;4
jjjjj;0.607;0.619;0.608;0.018;7;0.850;0.867;0.851;0.018;5
Modelo de Característica para Entidades Urbanas;1.000;1.000;1.000;0.250;7;1.000;1.000;1.000;0.250;7
acarlos_trab2_mobile;0.571;0.571;0.571;0.014;7;1.000;1.000;1.000;0.014;4
Telefonia Celular;0.995;0.869;0.906;0.035;7;0.995;0.869;0.906;0.035;7
Ökonomische Merkmale;0.946;0.946;0.946;0.023;7;0.946;0.946;0.946;0.023;7
erewr;0.714;0.571;0.599;0.012;7;1.000;0.800;0.839;0.012;5
Webshop_SPLE2014_Chalmers;0.821;0.750;0.774;0.004;7;0.958;0.875;0.903;0.004;6
E-commerce system1;0.571;0.524;0.543;0.001;7;1.000;0.917;0.950;0.001;4
Eshop-ufrj;0.634;0.661;0.631;0.012;7;0.888;0.925;0.883;0.012;5
