CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.942;0.640;0.744;0.020;50;0.942;0.640;0.744;0.020;50
PART;0.893;0.893;0.888;0.020;50;0.893;0.893;0.888;0.020;50
NaiveBayesUpdateable;0.413;0.190;0.238;0.020;50;0.713;0.328;0.410;0.031;29
JRip;0.761;0.748;0.740;0.020;50;0.810;0.795;0.787;0.021;47


VALIDITY RATIO;(F)
min;0.000977
avg;0.019812
max;0.093750

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.4];0.752;0.618;0.653;0.020;200;0.855;0.702;0.742;0.022;176

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CTOS MODEL;0.435;0.356;0.348;0.001;20;0.669;0.547;0.535;0.001;13
ELPS - ISE;0.795;0.690;0.704;0.028;20;0.883;0.767;0.782;0.028;18
Linha de produtos - SimulES e PnP;0.609;0.515;0.543;0.009;20;0.676;0.572;0.603;0.009;18
Carro Model;0.485;0.298;0.351;0.002;20;0.693;0.426;0.501;0.002;14
Car PL;0.561;0.399;0.447;0.005;20;0.624;0.444;0.497;0.005;18
MiniTV;0.984;0.875;0.918;0.015;20;0.984;0.875;0.918;0.015;20
WB;0.914;0.753;0.791;0.039;20;0.914;0.753;0.791;0.039;20
IDE4OCL;0.995;0.734;0.796;0.004;20;0.995;0.734;0.796;0.004;20
UML-IDE-TOOL;0.996;0.923;0.953;0.094;20;0.996;0.923;0.953;0.094;20
Mobile Phone, until relase 5;0.750;0.634;0.674;0.001;20;1.000;0.846;0.899;0.001;15
