CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RandomCommittee;0.977;0.949;0.960;0.021;285;0.981;0.952;0.964;0.021;284


VALIDITY RATIO;(F)
min;0.000488
avg;0.020534
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.9];0.977;0.949;0.960;0.021;285;0.981;0.952;0.964;0.021;284

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;1.000;0.993;0.996;0.027;5;1.000;0.993;0.996;0.027;5
Matrix chain multiplication;0.940;0.867;0.899;0.007;5;0.940;0.867;0.899;0.007;5
SmartHome- Simplified Sample;0.982;1.000;0.990;0.005;5;0.982;1.000;0.990;0.005;5
E-shop;0.993;0.986;0.990;0.014;5;0.993;0.986;0.990;0.014;5
UPL;1.000;0.989;0.994;0.009;5;1.000;0.989;0.994;0.009;5
SmartHome_vConejero_r1;1.000;0.900;0.933;0.001;5;1.000;0.900;0.933;0.001;5
Weather Station;0.959;0.950;0.954;0.021;5;0.959;0.950;0.954;0.021;5
27-5-207 test;0.982;0.977;0.979;0.021;5;0.982;0.977;0.979;0.021;5
Test;0.956;0.886;0.911;0.003;5;0.956;0.886;0.911;0.003;5
Xor Example;1.000;1.000;1.000;0.020;5;1.000;1.000;1.000;0.020;5
Implementacion;0.956;0.857;0.896;0.003;5;0.956;0.857;0.896;0.003;5
Xor Example 2;1.000;0.997;0.999;0.035;5;1.000;0.997;0.999;0.035;5
ordem;0.993;0.975;0.984;0.027;5;0.993;0.975;0.984;0.027;5
Observatorio;0.978;0.875;0.915;0.004;5;0.978;0.875;0.915;0.004;5
XOR NEW;1.000;1.000;1.000;0.043;5;1.000;1.000;1.000;0.043;5
SimpleModel;0.967;0.933;0.949;0.012;5;0.967;0.933;0.949;0.012;5
Ubuntu;0.917;0.900;0.906;0.006;5;0.917;0.900;0.906;0.006;5
mo;1.000;1.000;1.000;0.029;5;1.000;1.000;1.000;0.029;5
JDFM;0.943;0.910;0.923;0.010;5;0.943;0.910;0.923;0.010;5
NovoSiga;1.000;1.000;1.000;0.010;5;1.000;1.000;1.000;0.010;5
ubuntu;0.967;0.933;0.949;0.009;5;0.967;0.933;0.949;0.009;5
testing;0.998;1.000;0.999;0.125;5;0.998;1.000;0.999;0.125;5
Rotation1;1.000;0.980;0.989;0.005;5;1.000;0.980;0.989;0.005;5
Imolementacion II;0.733;0.600;0.653;0.001;5;0.917;0.750;0.817;0.001;4
Cellphone;0.931;0.886;0.905;0.007;5;0.931;0.886;0.905;0.007;5
Mobile Media v3;1.000;0.800;0.867;0.001;5;1.000;0.800;0.867;0.001;5
Jogo;1.000;0.950;0.971;0.002;5;1.000;0.950;0.971;0.002;5
desordem;1.000;0.968;0.984;0.027;5;1.000;0.968;0.984;0.027;5
Basic Car;1.000;0.988;0.994;0.008;5;1.000;0.988;0.994;0.008;5
1;1.000;0.986;0.993;0.007;5;1.000;0.986;0.993;0.007;5
Sylvain Example;0.942;0.940;0.940;0.005;5;0.942;0.940;0.940;0.005;5
Car;0.968;0.967;0.967;0.006;5;0.968;0.967;0.967;0.006;5
HandlingSystem;1.000;1.000;1.000;0.000;5;1.000;1.000;1.000;0.000;5
Assistente de Compras;0.965;0.925;0.944;0.012;5;0.965;0.925;0.944;0.012;5
MyFeatureModel;0.982;0.960;0.971;0.017;5;0.982;0.960;0.971;0.017;5
ROOT;1.000;1.000;1.000;0.047;5;1.000;1.000;1.000;0.047;5
SPL_e_commerce;0.982;0.964;0.973;0.027;5;0.982;0.964;0.973;0.027;5
Website;1.000;1.000;1.000;0.031;5;1.000;1.000;1.000;0.031;5
VOD feature model;1.000;1.000;1.000;0.016;5;1.000;1.000;1.000;0.016;5
Mauricio Alférez;1.000;1.000;1.000;0.005;5;1.000;1.000;1.000;0.005;5
Asghar;0.976;0.981;0.978;0.016;5;0.976;0.981;0.978;0.016;5
Analisis;1.000;0.833;0.905;0.003;5;1.000;0.833;0.905;0.003;5
Autosoft;0.984;0.986;0.985;0.055;5;0.984;0.986;0.985;0.055;5
