CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.487;0.471;0.454;0.023;150;0.514;0.498;0.479;0.024;142
PART;0.444;0.464;0.437;0.023;150;0.584;0.611;0.575;0.028;114
NaiveBayesUpdateable;0.407;0.125;0.175;0.023;150;0.826;0.254;0.355;0.038;74
JRip;0.402;0.456;0.413;0.023;150;0.609;0.691;0.626;0.031;99


VALIDITY RATIO;(F)
min;0.000977
avg;0.022526
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.2];0.435;0.379;0.370;0.023;600;0.608;0.530;0.517;0.029;429

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;0.915;0.733;0.776;0.016;20;0.915;0.733;0.776;0.016;20
CCCMS;0.917;0.868;0.883;0.059;20;0.917;0.868;0.883;0.059;20
WB2;0.630;0.538;0.541;0.049;20;0.630;0.538;0.541;0.049;20
VOD feature model;0.804;0.664;0.687;0.016;20;0.893;0.738;0.764;0.016;18
Phone sple;0.530;0.356;0.383;0.026;20;0.558;0.374;0.403;0.026;19
Dummy Car;0.100;0.094;0.081;0.002;20;0.250;0.236;0.203;0.002;8
Asghar;0.410;0.322;0.328;0.016;20;0.512;0.402;0.410;0.016;16
Adams Car;0.248;0.236;0.231;0.007;20;0.355;0.337;0.331;0.007;14
UPL;0.323;0.286;0.277;0.009;20;0.497;0.440;0.427;0.009;13
SmartHome_vConejero_r1;0.070;0.100;0.079;0.001;20;0.467;0.667;0.524;0.001;3
Test;0.068;0.086;0.061;0.003;20;0.194;0.245;0.176;0.003;7
Phone;0.748;0.598;0.614;0.045;20;0.748;0.598;0.614;0.045;20
mon model;0.205;0.148;0.164;0.006;20;0.373;0.269;0.298;0.006;11
ordem;0.562;0.438;0.426;0.027;20;0.591;0.461;0.448;0.027;19
Text Editor;0.195;0.168;0.155;0.003;20;0.488;0.420;0.387;0.003;8
IntelligentTutoringSystem;0.722;0.549;0.560;0.021;20;0.722;0.549;0.560;0.021;20
ETRobocon;0.902;0.816;0.835;0.059;20;0.902;0.816;0.835;0.059;20
test_fm;0.197;0.256;0.190;0.002;20;0.492;0.641;0.474;0.002;8
AvionFEatures;0.309;0.333;0.281;0.012;20;0.475;0.513;0.432;0.012;13
CIMS PL;0.025;0.150;0.043;0.001;20;0.170;1.000;0.290;0.001;3
VODPlayer;0.471;0.496;0.433;0.047;20;0.496;0.522;0.456;0.047;19
desordem;0.535;0.303;0.327;0.027;20;0.629;0.356;0.385;0.027;17
E-portal;0.398;0.394;0.356;0.008;20;0.497;0.492;0.445;0.008;16
carpl;0.076;0.150;0.076;0.002;20;0.379;0.750;0.378;0.002;4
Ökonomische Merkmale;0.557;0.473;0.462;0.023;20;0.655;0.556;0.543;0.023;17
MyFM;0.209;0.150;0.160;0.019;20;0.381;0.273;0.292;0.019;11
Eshop-ufrj;0.512;0.369;0.377;0.012;20;0.539;0.388;0.397;0.012;19
MyFeatureModel;0.412;0.343;0.348;0.017;20;0.515;0.429;0.435;0.017;16
Mobile Game;0.831;0.789;0.793;0.132;20;0.831;0.789;0.793;0.132;20
SAL;0.168;0.171;0.163;0.012;20;0.335;0.342;0.326;0.012;10
