CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.377;0.333;0.344;0.011;245;0.770;0.679;0.702;0.021;120
SVM_Poly[3,2.0,0.5];0.646;0.614;0.616;0.011;245;0.697;0.662;0.665;0.012;227
REPTree;0.328;0.289;0.297;0.011;245;0.773;0.681;0.700;0.024;104
RandomForest;0.889;0.405;0.507;0.011;245;0.956;0.435;0.545;0.012;228
RandomCommittee;0.703;0.497;0.554;0.011;245;0.763;0.539;0.600;0.012;226
MultilayerPerceptron[a];0.677;0.587;0.611;0.011;245;0.775;0.672;0.699;0.013;214
J48;0.280;0.259;0.266;0.011;245;0.914;0.845;0.869;0.031;75


VALIDITY RATIO;(F)
min;0.000061
avg;0.011146
max;0.116272

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.2];0.557;0.426;0.456;0.011;1715;0.800;0.612;0.656;0.015;1194

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE Process;0.313;0.139;0.158;0.000;35;0.730;0.325;0.370;0.000;15
Buzzard Radio play DB;0.976;0.970;0.973;0.027;35;0.976;0.970;0.973;0.027;35
BSS_CS5702_G3;0.329;0.157;0.189;0.000;35;0.768;0.367;0.442;0.000;15
pruebapalabras;0.502;0.295;0.346;0.004;35;0.702;0.413;0.484;0.004;25
video on demand;0.432;0.244;0.284;0.002;35;0.756;0.427;0.497;0.002;20
Search_Engine_PL;0.576;0.412;0.463;0.008;35;0.775;0.554;0.623;0.008;26
User Model;0.753;0.587;0.636;0.009;35;0.823;0.641;0.696;0.009;32
Eleição de um prefeito e um vereador;0.260;0.111;0.143;0.001;35;0.506;0.215;0.279;0.001;18
Mobile media v4;0.137;0.093;0.093;0.000;35;0.531;0.361;0.360;0.000;9
Scenario Application;0.432;0.259;0.300;0.003;35;0.630;0.377;0.437;0.003;24
UML-IDE-TOOL;1.000;1.000;1.000;0.094;35;1.000;1.000;1.000;0.094;35
Virtual_Office_of_the_Future;0.526;0.330;0.375;0.003;35;0.800;0.502;0.571;0.003;23
Urna Gleidson;0.454;0.235;0.278;0.001;35;0.756;0.392;0.463;0.001;21
Linha de produtos - SimulES e PnP;0.627;0.474;0.520;0.009;35;0.784;0.593;0.650;0.009;28
Car PL;0.399;0.217;0.269;0.005;35;0.634;0.345;0.428;0.005;22
PhysEval;0.682;0.432;0.509;0.003;35;0.853;0.540;0.637;0.003;28
catalogo;0.244;0.171;0.171;0.000;35;0.611;0.429;0.427;0.000;14
Smartwatch;0.993;0.947;0.966;0.004;35;0.993;0.947;0.966;0.004;35
Mobile Phone, until relase 5;0.672;0.475;0.519;0.001;35;0.905;0.639;0.699;0.001;26
JPlug;0.480;0.254;0.309;0.005;35;0.730;0.386;0.471;0.005;23
Mobile Media;0.225;0.124;0.141;0.000;35;0.563;0.310;0.354;0.000;14
Clinica Medica;0.355;0.181;0.203;0.001;35;0.731;0.373;0.418;0.001;17
Celulares;0.988;0.931;0.958;0.025;35;0.988;0.931;0.958;0.025;35
