CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.927;0.585;0.701;0.014;2552;0.960;0.605;0.726;0.015;2464
SVM_Poly[3,2.0,0.5];0.804;0.802;0.793;0.014;2552;0.833;0.831;0.821;0.015;2464
PART;0.644;0.588;0.596;0.014;2552;0.803;0.733;0.744;0.017;2046
REPTree;0.390;0.343;0.352;0.014;2552;0.787;0.691;0.709;0.023;1265
RandomForest;0.935;0.663;0.756;0.014;2552;0.968;0.687;0.783;0.015;2464
RandomCommittee;0.831;0.711;0.749;0.014;2552;0.856;0.734;0.772;0.015;2475
JRip;0.560;0.549;0.535;0.014;2552;0.747;0.732;0.713;0.018;1914
J48;0.281;0.272;0.274;0.014;2552;0.919;0.889;0.897;0.028;781


VALIDITY RATIO;(F)
min;0.000122
avg;0.014384
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.5];0.672;0.564;0.594;0.014;20416;0.864;0.726;0.765;0.017;15873

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone;0.499;0.363;0.414;0.010;88;0.798;0.580;0.662;0.010;55
Visit Indonesia Apps;0.934;0.875;0.897;0.010;88;0.934;0.875;0.897;0.010;88
MyDental;0.941;0.878;0.897;0.010;88;0.941;0.878;0.897;0.010;88
Bicis_Feature_Model;0.330;0.208;0.249;0.006;88;0.659;0.417;0.498;0.006;44
test gv;1.000;0.980;0.989;0.031;88;1.000;0.980;0.989;0.031;88
E-Shop, magister2014;0.701;0.576;0.607;0.018;88;0.801;0.659;0.694;0.018;77
Alarm System;0.707;0.420;0.509;0.005;88;0.808;0.480;0.581;0.005;77
Hello World;0.837;0.704;0.758;0.034;88;0.837;0.704;0.758;0.034;88
Weather Station;0.749;0.588;0.645;0.021;88;0.856;0.672;0.737;0.021;77
Video On Demand SPL FM;0.628;0.367;0.460;0.002;88;0.837;0.490;0.613;0.002;66
depresija;0.996;0.976;0.985;0.016;88;0.996;0.976;0.985;0.016;88
KIModel;0.693;0.552;0.571;0.001;88;0.924;0.736;0.761;0.001;66
AA;0.660;0.555;0.592;0.016;88;0.880;0.740;0.789;0.016;66
Example Product Line Course Using SPLOT;0.538;0.375;0.426;0.014;88;0.717;0.500;0.568;0.014;66
Disenio;0.474;0.344;0.394;0.004;88;0.949;0.688;0.788;0.004;44
Address Book;1.000;0.955;0.976;0.018;88;1.000;0.955;0.976;0.018;88
VODPlayer;0.808;0.852;0.823;0.047;88;0.808;0.852;0.823;0.047;88
i18n;0.462;0.257;0.318;0.002;88;0.740;0.411;0.509;0.002;55
1;0.816;0.750;0.767;0.007;88;0.932;0.857;0.877;0.007;77
rtrt;0.935;0.900;0.911;0.020;88;0.935;0.900;0.911;0.020;88
Sylvain Example;0.490;0.281;0.334;0.004;176;0.784;0.449;0.534;0.004;110
RE;0.999;0.984;0.991;0.012;88;0.999;0.984;0.991;0.012;88
JCS;0.955;0.827;0.879;0.023;88;0.955;0.827;0.879;0.023;88
MarketPlace-Sample;0.497;0.417;0.418;0.000;88;0.796;0.667;0.669;0.000;55
Mobile Media;0.588;0.411;0.461;0.003;88;0.784;0.549;0.615;0.003;66
search-engine;0.797;0.635;0.697;0.011;176;0.850;0.677;0.743;0.011;165
Website;0.998;0.992;0.995;0.031;88;0.998;0.992;0.995;0.031;88
FM1;0.125;0.125;0.125;0.000;88;1.000;1.000;1.000;0.000;11
Mauricio Alférez;0.714;0.625;0.665;0.005;88;0.952;0.833;0.886;0.005;66
MobileMedia;0.799;0.715;0.729;0.028;176;0.913;0.817;0.833;0.028;154
cell phones SPL;0.576;0.344;0.412;0.002;88;0.768;0.458;0.549;0.002;66
IntelligentTutoringSystem;0.985;0.960;0.971;0.021;88;0.985;0.960;0.971;0.021;88
Multiplicador de n matrices;0.433;0.347;0.383;0.004;88;0.692;0.556;0.612;0.004;55
Cell-Phone-SPL-2014;0.511;0.289;0.358;0.002;88;0.818;0.463;0.573;0.002;55
HADAS-security;0.387;0.333;0.346;0.001;88;0.620;0.533;0.553;0.001;55
Tripeo;0.815;0.781;0.778;0.001;88;0.932;0.893;0.889;0.001;77
Wewq;0.125;0.125;0.125;0.000;88;1.000;1.000;1.000;0.000;11
a;0.916;0.747;0.804;0.010;88;0.916;0.747;0.804;0.010;88
Content model;0.933;0.901;0.914;0.022;88;0.933;0.901;0.914;0.022;88
SmartHotel;0.868;0.654;0.725;0.012;88;0.868;0.654;0.725;0.012;88
G10-music player;0.991;0.972;0.980;0.008;88;0.991;0.972;0.980;0.008;88
asdsfa ewtwwe;0.616;0.427;0.483;0.006;88;0.822;0.569;0.645;0.006;66
Feature Tree Example;0.658;0.516;0.543;0.008;88;0.752;0.589;0.621;0.008;77
Dental Surgery;0.000;0.000;0.000;0.002;88;0.000;0.000;0.000;0.000;0
disenio II;0.940;0.908;0.921;0.029;88;0.940;0.908;0.921;0.029;88
r;0.793;0.568;0.632;0.041;88;0.793;0.568;0.632;0.041;88
FeatureModel1;0.875;0.836;0.852;0.016;88;1.000;0.955;0.974;0.016;77
poker spl;0.713;0.530;0.575;0.010;88;0.815;0.605;0.657;0.010;77
Simnumero;0.499;0.359;0.377;0.008;88;0.799;0.575;0.603;0.008;55
