CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.882;0.492;0.611;0.016;1914;0.953;0.532;0.660;0.017;1771
SVM_Poly[3,2.0,0.5];0.890;0.726;0.779;0.016;1914;0.917;0.747;0.802;0.017;1859
PART;0.706;0.526;0.577;0.016;1914;0.891;0.663;0.728;0.020;1518
REPTree;0.367;0.300;0.319;0.016;1914;0.898;0.735;0.781;0.026;781
RandomForest;0.924;0.569;0.678;0.016;1914;0.980;0.604;0.720;0.017;1804
RandomCommittee;0.865;0.640;0.713;0.016;1914;0.923;0.683;0.761;0.017;1793
JRip;0.638;0.521;0.551;0.016;1914;0.874;0.714;0.755;0.020;1397
J48;0.253;0.231;0.239;0.016;1914;0.956;0.874;0.904;0.035;506


VALIDITY RATIO;(F)
min;0.000244
avg;0.016294
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.4];0.691;0.501;0.558;0.016;15312;0.925;0.671;0.748;0.019;11429

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;0.990;0.713;0.800;0.020;88;0.990;0.713;0.800;0.020;88
Mobile phone;0.642;0.400;0.474;0.010;88;0.856;0.533;0.632;0.010;66
CCCMS;0.996;0.989;0.992;0.059;88;0.996;0.989;0.992;0.059;88
MyDental;0.847;0.798;0.814;0.010;88;0.968;0.912;0.931;0.010;77
Bicis_Feature_Model;0.540;0.229;0.303;0.006;88;0.864;0.367;0.485;0.006;55
Maquina de Cae;0.790;0.611;0.671;0.035;88;0.903;0.698;0.767;0.035;77
test gv;0.994;0.988;0.991;0.031;88;0.994;0.988;0.991;0.031;88
E-Shop, magister2014;0.584;0.319;0.405;0.018;88;0.935;0.511;0.647;0.018;55
E-shop;0.809;0.448;0.564;0.014;88;0.925;0.512;0.645;0.014;77
UPL;0.808;0.639;0.693;0.009;88;0.923;0.730;0.792;0.009;77
Hello World;0.777;0.664;0.705;0.034;88;0.888;0.759;0.805;0.034;77
Weather Station;0.688;0.446;0.533;0.021;88;0.918;0.595;0.711;0.021;66
LXEP;0.244;0.188;0.205;0.002;88;0.977;0.750;0.818;0.002;22
Xor Example;0.732;0.434;0.533;0.020;88;0.976;0.579;0.711;0.020;66
Implementacion;0.442;0.286;0.344;0.003;88;0.885;0.571;0.688;0.003;44
ordem;0.801;0.607;0.683;0.027;88;0.915;0.694;0.781;0.027;77
ID;0.375;0.375;0.375;0.000;88;1.000;1.000;1.000;0.000;33
Observatorio;0.623;0.313;0.396;0.004;88;0.831;0.417;0.527;0.004;66
eshop;0.566;0.264;0.335;0.009;88;0.906;0.422;0.536;0.009;55
AA;0.753;0.508;0.594;0.016;88;0.860;0.580;0.679;0.016;77
E-SHOP;0.531;0.422;0.436;0.008;88;0.849;0.675;0.697;0.008;55
Example Product Line Course Using SPLOT;0.802;0.473;0.579;0.014;88;0.916;0.541;0.662;0.014;77
AvionFEatures;0.654;0.490;0.553;0.012;88;0.872;0.653;0.737;0.012;66
search engine;0.785;0.719;0.735;0.008;88;0.897;0.821;0.840;0.008;77
NovoSiga;0.794;0.513;0.583;0.010;88;0.908;0.586;0.667;0.010;77
Disenio;0.344;0.188;0.226;0.004;88;0.918;0.500;0.603;0.004;33
CIMS PL;0.000;0.000;0.000;0.001;88;0.000;0.000;0.000;0.000;0
Address Book;0.994;0.911;0.947;0.018;88;0.994;0.911;0.947;0.018;88
VODPlayer;0.895;0.813;0.835;0.047;88;0.895;0.813;0.835;0.047;88
isolation;0.494;0.333;0.384;0.003;88;0.989;0.667;0.769;0.003;44
Jogo;0.406;0.219;0.266;0.001;176;0.929;0.500;0.608;0.002;77
desordem;0.802;0.625;0.696;0.027;88;0.916;0.714;0.795;0.027;77
1;0.717;0.500;0.563;0.007;88;0.957;0.667;0.751;0.007;66
Mobile Phone GF;0.557;0.420;0.472;0.014;88;0.892;0.671;0.755;0.014;55
rtrt;0.963;0.831;0.880;0.020;88;0.963;0.831;0.880;0.020;88
Sylvain Example;0.634;0.349;0.432;0.004;176;0.922;0.507;0.628;0.004;121
MK Andes;0.463;0.406;0.427;0.004;88;0.926;0.813;0.854;0.004;44
Computer Selection;0.339;0.313;0.309;0.002;88;0.904;0.833;0.823;0.002;33
HandlingSystem;0.125;0.125;0.125;0.000;88;1.000;1.000;1.000;0.000;11
Modelo;0.448;0.344;0.373;0.004;88;0.896;0.688;0.745;0.004;44
JCS;0.934;0.725;0.805;0.023;88;0.934;0.725;0.805;0.023;88
MyFeatureModel;0.822;0.507;0.613;0.017;88;0.940;0.580;0.701;0.017;77
Mobile Game;0.975;0.950;0.962;0.132;88;0.975;0.950;0.962;0.132;88
votacao eletronica;0.714;0.518;0.583;0.007;88;0.952;0.690;0.777;0.007;66
Online Shop Feature Model;0.676;0.426;0.505;0.010;88;0.902;0.567;0.674;0.010;66
Website;0.999;0.967;0.981;0.031;88;0.999;0.967;0.981;0.031;88
Mobile Tourist Planner;0.851;0.661;0.734;0.027;88;0.973;0.755;0.839;0.027;77
VOD feature model;1.000;0.938;0.965;0.016;88;1.000;0.938;0.965;0.016;88
Mauricio Alférez;0.854;0.650;0.710;0.005;88;0.976;0.743;0.812;0.005;77
Asghar;0.814;0.531;0.628;0.016;88;0.931;0.607;0.718;0.016;77
Minimalistic PC Feature Model;0.466;0.250;0.297;0.004;88;0.932;0.500;0.594;0.004;44
MobileMedia;0.890;0.729;0.782;0.028;176;0.949;0.778;0.834;0.028;165
Rotary_Element;0.668;0.458;0.533;0.012;88;0.891;0.611;0.710;0.012;66
IntelligentTutoringSystem;0.955;0.912;0.927;0.021;88;0.955;0.912;0.927;0.021;88
Multiplicador de n matrices;0.419;0.153;0.219;0.004;88;0.837;0.306;0.439;0.004;44
ETRobocon;0.990;0.973;0.980;0.059;88;0.990;0.973;0.980;0.059;88
Telecommunication_System;0.642;0.271;0.358;0.004;88;0.856;0.361;0.477;0.004;66
a;0.862;0.631;0.714;0.010;88;0.985;0.721;0.816;0.010;77
Content model;0.965;0.819;0.877;0.022;88;0.965;0.819;0.877;0.022;88
AllSports Feature Model;0.699;0.505;0.572;0.023;88;0.932;0.674;0.763;0.023;66
Movil;0.823;0.509;0.608;0.007;88;0.941;0.582;0.695;0.007;77
asdsfa ewtwwe;0.657;0.531;0.565;0.006;88;0.877;0.708;0.753;0.006;66
ZMUConcernExample;0.715;0.500;0.550;0.004;88;0.953;0.667;0.733;0.004;66
aaaaaa;1.000;0.980;0.989;0.008;88;1.000;0.980;0.989;0.008;88
Feature Tree Example;0.708;0.500;0.558;0.008;88;0.945;0.667;0.745;0.008;66
FeatureModelName;0.443;0.281;0.326;0.002;88;0.886;0.563;0.652;0.002;44
Dental Surgery;0.418;0.375;0.374;0.002;88;0.835;0.750;0.748;0.002;44
E-portal;0.680;0.516;0.579;0.008;88;0.906;0.688;0.773;0.008;66
disenio II;0.970;0.858;0.901;0.029;88;0.970;0.858;0.901;0.029;88
Mobile Phone UPT;0.665;0.330;0.429;0.014;88;0.886;0.440;0.571;0.014;66
Test1;0.469;0.234;0.299;0.008;88;0.938;0.469;0.597;0.008;44
carpl;0.313;0.188;0.228;0.002;88;0.833;0.500;0.607;0.002;33
r;0.807;0.527;0.626;0.041;88;0.923;0.602;0.715;0.041;77
FeatureModel1;0.873;0.820;0.839;0.016;88;0.997;0.938;0.959;0.016;77
poker spl;0.660;0.357;0.446;0.010;88;0.881;0.476;0.595;0.010;66
Simnumero;0.579;0.297;0.380;0.008;88;0.927;0.475;0.608;0.008;55
abcdefg;0.429;0.333;0.365;0.006;88;0.858;0.667;0.729;0.006;44
Mobile-Phone;0.628;0.330;0.402;0.014;88;0.838;0.440;0.536;0.014;66
Loja Virtual;0.953;0.857;0.899;0.027;88;0.953;0.857;0.899;0.027;88
This is a test;0.973;0.919;0.942;0.032;88;0.973;0.919;0.942;0.032;88
hhhhhhh;0.705;0.531;0.553;0.004;88;0.939;0.708;0.737;0.004;66
eLearning ways;0.992;0.953;0.972;0.097;88;0.992;0.953;0.972;0.097;88
Matrix chain multiplication;0.504;0.225;0.296;0.007;88;0.807;0.360;0.474;0.007;55
Phone sple;0.724;0.468;0.563;0.026;88;0.965;0.623;0.751;0.026;66
Final model;0.691;0.318;0.420;0.003;88;0.922;0.424;0.560;0.003;66
Manuel;0.694;0.306;0.415;0.009;88;0.926;0.407;0.553;0.009;66
FM with optional XOR;0.827;0.548;0.642;0.005;88;0.945;0.626;0.734;0.005;77
SmartHome- Simplified Sample;0.733;0.500;0.564;0.005;88;0.977;0.667;0.751;0.005;66
Mobile phone (lenita);0.496;0.313;0.372;0.014;88;0.794;0.500;0.595;0.014;55
SmartHome_vConejero_r1;0.358;0.313;0.328;0.001;88;0.955;0.833;0.874;0.001;33
Reservation;0.539;0.292;0.356;0.002;88;0.863;0.467;0.569;0.002;55
test 3;0.796;0.527;0.610;0.031;88;0.910;0.603;0.697;0.031;77
27-5-207 test;0.843;0.653;0.719;0.021;88;0.963;0.747;0.821;0.021;77
tab;0.633;0.297;0.390;0.004;88;0.844;0.396;0.520;0.004;66
Congress Assistant;0.833;0.542;0.642;0.012;88;0.952;0.619;0.734;0.012;77
Test;0.488;0.280;0.352;0.010;176;0.868;0.498;0.625;0.010;99
mon model;0.687;0.422;0.504;0.006;88;0.916;0.563;0.671;0.006;66
Xor Example 2;0.989;0.837;0.899;0.035;88;0.989;0.837;0.899;0.035;88
TEST_NAme;0.859;0.677;0.753;0.035;88;0.981;0.774;0.861;0.035;77
ABMS;0.982;0.941;0.960;0.060;88;0.982;0.941;0.960;0.060;88
Text Editor;0.448;0.216;0.280;0.003;88;0.896;0.432;0.560;0.003;44
XOR NEW;0.991;0.884;0.932;0.043;88;0.991;0.884;0.932;0.043;88
SimpleModel;0.646;0.359;0.448;0.012;88;0.861;0.479;0.597;0.012;66
Ubuntu;0.520;0.219;0.300;0.006;88;0.832;0.350;0.480;0.006;55
Prontuário Eletrônico de Pacientes;0.697;0.563;0.574;0.010;88;0.930;0.750;0.766;0.010;66
mo;0.965;0.931;0.944;0.029;88;0.965;0.931;0.944;0.029;88
test_fm;0.818;0.578;0.627;0.002;88;0.935;0.661;0.716;0.002;77
JDFM;0.544;0.281;0.358;0.010;88;0.871;0.450;0.573;0.010;55
Bandymas;0.939;0.854;0.880;0.018;88;0.939;0.854;0.880;0.018;88
Attempt of mine;0.980;0.939;0.957;0.032;88;0.980;0.939;0.957;0.032;88
ubuntu;0.685;0.375;0.467;0.009;88;0.913;0.500;0.622;0.009;66
Rotation1;0.856;0.688;0.749;0.005;88;0.978;0.786;0.856;0.005;77
Imolementacion II;0.075;0.083;0.074;0.001;88;0.598;0.667;0.594;0.001;11
Topology;0.427;0.156;0.224;0.004;88;0.855;0.313;0.447;0.004;44
Cellphone;0.523;0.348;0.402;0.007;88;0.836;0.557;0.643;0.007;55
TW SPL Hard Choices;0.608;0.469;0.497;0.001;88;0.973;0.750;0.795;0.001;55
Mobile Media v3;0.233;0.250;0.239;0.001;88;0.932;1.000;0.955;0.001;22
