CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone (lenita);0.041;0.036;0.037;0.014;88;0.164;0.143;0.147;0.014;22
27-5-207 test;0.495;0.381;0.378;0.021;88;0.565;0.435;0.431;0.021;77
Congress Assistant;0.292;0.198;0.200;0.012;88;0.468;0.317;0.321;0.012;55
Test;0.117;0.063;0.060;0.010;176;0.375;0.202;0.193;0.011;55
mon model;0.240;0.219;0.196;0.006;88;0.384;0.350;0.313;0.006;55
Veículo;0.297;0.203;0.208;0.010;88;0.396;0.271;0.278;0.010;66
Xor Example 2;0.443;0.286;0.344;0.035;88;0.590;0.382;0.459;0.035;66
Cell-Phone-SPL-2014-Mined;0.153;0.069;0.089;0.004;88;0.407;0.183;0.238;0.004;33
XOR NEW;0.625;0.469;0.508;0.043;88;0.714;0.536;0.580;0.043;77
Homepage based on wiki;0.214;0.125;0.142;0.003;88;0.428;0.250;0.283;0.003;44
test_fm;0.048;0.031;0.037;0.002;88;0.384;0.250;0.298;0.002;11
Bandymas;0.434;0.285;0.309;0.018;88;0.695;0.456;0.495;0.018;55
Attempt of mine;0.811;0.800;0.788;0.032;88;0.811;0.800;0.788;0.032;88
smartPhone;0.634;0.606;0.612;0.011;88;0.845;0.808;0.816;0.011;66
Rotation1;0.125;0.238;0.154;0.005;88;0.334;0.633;0.409;0.005;33
Cellphone;0.183;0.125;0.120;0.007;88;0.367;0.250;0.239;0.007;44
Basic Car;0.304;0.234;0.254;0.008;88;0.607;0.469;0.509;0.008;44
SPL Studies;0.311;0.173;0.197;0.033;176;0.498;0.277;0.315;0.033;110
testISA2012;0.206;0.179;0.160;0.014;88;0.329;0.286;0.257;0.014;55
Match engine;0.286;0.305;0.285;0.016;88;0.763;0.813;0.761;0.016;33
mobile phone;0.198;0.178;0.178;0.025;88;0.395;0.356;0.356;0.025;44
Video On Demand FM;0.139;0.023;0.038;0.002;88;0.558;0.094;0.151;0.002;22
Assistente de Compras;0.326;0.229;0.245;0.012;88;0.521;0.367;0.392;0.012;55
Mobile Phone;0.237;0.188;0.189;0.014;176;0.421;0.333;0.337;0.014;99
ROOT;0.795;0.833;0.802;0.047;88;0.795;0.833;0.802;0.047;88
UPT_RM_MOBILE;0.203;0.125;0.131;0.014;88;0.406;0.250;0.262;0.014;44
WB2;0.592;0.416;0.476;0.049;88;0.677;0.475;0.544;0.049;77
Dummy Car;0.168;0.042;0.058;0.002;88;0.449;0.111;0.154;0.002;33
Stamppy;0.340;0.348;0.286;0.003;88;0.545;0.557;0.458;0.003;55
Adams Car;0.327;0.152;0.186;0.007;88;0.655;0.304;0.372;0.007;44
anlisis II;0.308;0.237;0.249;0.027;88;0.493;0.379;0.399;0.027;55
ESCA Embeeded System;0.131;0.063;0.075;0.005;88;0.349;0.167;0.201;0.005;33
Match de foot;0.360;0.297;0.302;0.008;88;0.720;0.594;0.603;0.008;44
CarExample;0.000;0.000;0.000;0.001;88;0.000;0.000;0.000;0.000;0
Home;0.556;0.506;0.511;0.015;88;0.635;0.578;0.584;0.015;77
Ooredoo;0.149;0.097;0.083;0.004;88;0.239;0.156;0.133;0.004;55
MyHolidays;0.540;0.270;0.348;0.014;88;0.617;0.309;0.398;0.014;77
Parking lot Manager;0.240;0.039;0.066;0.002;88;0.639;0.104;0.177;0.002;33
LMF;0.000;0.000;0.000;0.000;88;0.000;0.000;0.000;0.000;0
Priscilinha;0.053;0.063;0.057;0.000;88;0.424;0.500;0.455;0.000;11
Sample;0.307;0.258;0.277;0.031;88;0.491;0.413;0.443;0.031;55
rotation;0.033;0.083;0.047;0.001;88;0.266;0.667;0.373;0.001;11
gs;0.470;0.347;0.379;0.041;88;0.537;0.397;0.434;0.041;77
HDMR-Paper;0.044;0.071;0.052;0.002;88;0.175;0.286;0.207;0.002;22
acarlos_trab2_mobile;0.139;0.116;0.113;0.014;88;0.372;0.310;0.302;0.014;33
Telefonia Celular;0.253;0.233;0.219;0.035;88;0.506;0.465;0.438;0.035;44
Ökonomische Merkmale;0.476;0.464;0.412;0.023;88;0.635;0.618;0.549;0.023;66
E-commerce system1;0.054;0.083;0.065;0.001;88;0.433;0.667;0.519;0.001;11
sasgd;0.288;0.213;0.244;0.020;88;0.769;0.567;0.650;0.020;33
CCCMS;0.921;0.927;0.922;0.059;88;0.921;0.927;0.922;0.059;88
Maquina de Cae;0.304;0.233;0.230;0.035;88;0.405;0.310;0.306;0.035;66
E-shop;0.297;0.177;0.202;0.014;88;0.475;0.283;0.323;0.014;55
UPL;0.311;0.264;0.260;0.009;88;0.498;0.422;0.416;0.009;55
LXEP;0.000;0.000;0.000;0.002;88;0.000;0.000;0.000;0.000;0
Xor Example;0.354;0.153;0.188;0.020;88;0.566;0.245;0.300;0.020;55
Implementacion;0.112;0.054;0.065;0.003;88;0.299;0.143;0.173;0.003;33
Windows .NET;0.378;0.203;0.240;0.002;88;0.756;0.406;0.480;0.002;44
ordem;0.372;0.219;0.264;0.027;88;0.496;0.292;0.352;0.027;66
ID;0.000;0.000;0.000;0.000;88;0.000;0.000;0.000;0.000;0
Observatorio;0.121;0.219;0.154;0.004;88;0.321;0.583;0.410;0.004;33
eshop;0.202;0.139;0.112;0.009;88;0.539;0.370;0.300;0.009;33
E-SHOP;0.211;0.078;0.090;0.008;88;0.563;0.208;0.240;0.008;33
Ligne de produits de Eshop;0.175;0.050;0.077;0.002;88;0.351;0.100;0.153;0.002;44
AvionFEatures;0.058;0.031;0.040;0.012;88;0.464;0.250;0.323;0.012;11
search engine;0.328;0.313;0.261;0.008;88;0.438;0.417;0.347;0.008;66
NovoSiga;0.222;0.194;0.189;0.010;88;0.444;0.388;0.378;0.010;44
CIMS PL;0.000;0.000;0.000;0.001;88;0.000;0.000;0.000;0.000;0
isolation;0.000;0.000;0.000;0.003;88;0.000;0.000;0.000;0.000;0
Online shopping software;0.027;0.063;0.036;0.000;88;0.216;0.500;0.288;0.000;11
Jogo;0.042;0.031;0.035;0.001;176;0.667;0.500;0.567;0.002;11
desordem;0.317;0.221;0.257;0.027;88;0.508;0.354;0.412;0.027;55
