CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.967;0.928;0.937;0.022;6;0.967;0.928;0.937;0.022;6
SVM_RBF[5.0];1.000;1.000;1.000;0.022;6;1.000;1.000;1.000;0.022;6
HoeffdingTree;0.167;0.045;0.071;0.022;6;1.000;0.270;0.425;0.043;1
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.022;6;1.000;1.000;1.000;0.022;6
REPTree;0.667;0.651;0.659;0.022;6;1.000;0.977;0.988;0.029;4
RandomForest;1.000;1.000;1.000;0.022;6;1.000;1.000;1.000;0.022;6
StochasticGradientDescend;0.024;0.164;0.042;0.022;6;0.146;0.984;0.255;0.030;1
RandomCommittee;0.967;0.933;0.940;0.022;6;0.967;0.933;0.940;0.022;6
NaiveBayesUpdateable;0.500;0.103;0.161;0.022;6;1.000;0.205;0.322;0.034;3
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.022;6;1.000;1.000;1.000;0.022;6
MultilayerPerceptron[a];1.000;0.905;0.944;0.022;6;1.000;0.905;0.944;0.022;6
J48;0.667;0.651;0.659;0.022;6;1.000;0.977;0.988;0.029;4


VALIDITY RATIO;(F)
min;0.004883
avg;0.021729
max;0.043457

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.746;0.698;0.701;0.022;72;0.977;0.914;0.918;0.024;55

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
E-SHOP;0.550;0.583;0.565;0.008;12;0.943;1.000;0.968;0.008;7
mo;0.846;0.854;0.809;0.030;12;0.922;0.931;0.882;0.030;11
Disenio;0.583;0.483;0.521;0.005;12;1.000;0.829;0.893;0.005;7
VOD feature model;0.750;0.740;0.745;0.016;12;1.000;0.987;0.993;0.016;9
XOR NEW;0.917;0.786;0.816;0.043;12;1.000;0.857;0.890;0.043;11
anlisis II;0.833;0.744;0.751;0.028;12;1.000;0.893;0.901;0.028;10
